Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99,Sursa_100
t1,,41,,,,,96,81,7,,,83,,,,,78,,"93,15",,36,34,,"97,38","99,35,37","65,30",94,"41,7",47,29,,,,,,,,,,,,28,14,,,,,,,"74,5","75,84",,"66,14","24,76","59,43,6",,89,,7,"64,65","28,4,21",84,,31,67,40,3,76,"99,44","8,28,45","99,21",20,24,12,89,,"24,57,4",,"81,68",,83,,99,,,92,40,57,60,71,17,46,36,40,26,,,,98,40
t2,,,,,,,24,21,"96,39",,,94,,,,,,,"73,49",,7,,,61,"73,75,60",10,90,"96,60","81,53",,,,,,,,,,,,,70,,,,,,,,"9,2","16,100,6",,"78,23",,"88,75,7",,"40,35",,,42,12,,,98,6,,26,,7,15,48,,,83,,,85,,"51,76,29",,27,,47,,,60,"17,100,31",,80,,,"99,77","74,92,86","100,22","43,11,59",,,,76,89
t3,,,,,,,99,3,"80,71",,,26,,,,,,,,,39,,,91,86,6,"79,47","50,47","83,46",,,,,,,,,,,,,,,,,,,,,,"73,60,97",,52,,"69,39,48,61,21,57,29",,77,,,"25,27,35",89,,,11,"97,38",,22,,,78,"66,27",,,"9,11,20",,,45,,"75,52",,63,,90,,,,"10,69",,62,,,,55,3,"13,22",,,,,
t4,,,,,,,,72,,,,"57,52",,,,,,,,,63,,,"48,34,66",,60,"66,3,50,83,23",,"35,77",,,,,,,,,,,,,,,,,,,,,,"90,37",,,,"26,52,54",,36,,,"13,30",,,,25,76,,,,,,,,,"16,72,40,35",,,,,56,,39,,34,,,,,,"27,29,79",,,,88,79,,,,,,
t5,,,,,,,,,,,,31,,,,,,,,,"33,67,28",,,49,,56,"67,77,54",,49,,,,,,,,,,,,,,,,,,,,,,"68,87",,,,"65,4,40,76,90,93",,62,,,,,,,95,,,,,,,,,,"89,75,78",,,,,,,,,,,,,,,94,,,,,68,,,,,,
t6,,,,,,,,,,,,7,,,,,,,,,"53,13",,,,,,"46,25,6",,,,,,,,,,,,,,,,,,,,,,,,69,,,,"98,45",,25,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,"67,69",,,,,,
t7,,,,,,,,,,,,59,,,,,,,,,"81,2,35",,,,,,"21,92,5,31",,,,,,,,,,,,,,,,,,,,,,,,40,,,,"71,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"88,21",,,,,,
t8,,,,,,,,,,,,,,,,,,,,,44,,,,,,"96,28",,,,,,,,,,,,,,,,,,,,,,,,27,,,,"49,53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,82",,,,,,
t9,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,30",,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,50",,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,
t11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
