Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99,Sursa_100
t1,,60,"8,56","14,87",2,38,,,78,"41,85,30",18,,5,,,93,"74,28","84,53",,,,,,,,,39,30,2,"57,43,71",9,,,65,"89,7","81,19",73,,,84,60,74,,62,,,,,,,,78,"89,21,71",,73,,,,,47,,,,66,42,"75,45",78,,,,"89,43,36","56,20","2,92,21",,"42,51",,"50,44,53,46",,"32,90",,"88,1,51",,,"50,53","64,57,51,80",,93,21,75,,14,"88,66",16,91,,51,66,"99,15",,57
t2,,,"72,70",54,,,,,94,,,,,,,,"44,95,7",73,,,,,,,,,,29,97,"88,68",87,,,48,59,"64,89,91","90,86",,,42,64,,,,,,,,,,,23,"72,45,18,54,57,63",,12,,,,,90,,,,75,84,38,,,,,46,"62,79","81,11,71",,"40,96",,"80,10,30,71",,"20,94,84",,"82,75,90,70",,,"73,67,79","17,91",,9,47,"35,85,37",,44,29,"22,87",,,,87,"10,18,85",,72
t3,,,"73,57,76",84,,,,,27,,,,,,,,"81,1,69",35,,,,,,,,,,52,,"97,92",77,,,37,,98,"1,58",,,38,91,,,,,,,,,,,,"64,70,39,9,13",,65,,,,,,,,,34,87,61,,,,,,33,43,,,,"36,62",,"35,78",,26,,,"100,75,68",,,,51,87,,,,,,,,69,89,,"1,49"
t4,,,"9,86","96,69,31",,,,,,,,,,,,,"88,58,53","49,42",,,,,,,,,,"48,93,95",,"2,66,38",48,,,"43,28",,"83,35,71",,,,15,,,,,,,,,,,,,"99,22,23",,,,,,,,,,,,,"86,90,21,62",,,,,,,"59,68,93",,,,"19,20,84",,"30,7",,,,,,,,,"100,54",,,,,,,,,44,"100,60",,18
t5,,,"49,84,61","99,20",,,,,,,,,,,,,"32,29,31","27,28",,,,,,,,,,19,,79,,,,"81,47",,"99,10,85,56,88,30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,3,,,,"25,26,70,49",,,,,,,,,,,"60,87",,,,,,,,,10,70,,
t6,,,27,,,,,,,,,,,,,,"19,4,70",26,,,,,,,,,,,,85,,,,88,,"76,79,23,24,57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,"2,4,46",,,,,,,,,,,,
t7,,,,,,,,,,,,,,,,,24,22,,,,,,,,,,,,46,,,,"16,18,29",,"73,1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
t8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,"33,2",,"90,27,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
t9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,46",,"94,47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89,100,85",,,,,,,,,,,,,,,,,,,,,,,,,,,
