Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99,Sursa_100
t1,"72,90","41,53",,15,7,"62,31",,77,"36,60,84",28,,,61,,75,,,92,,"32,4",,43,,,95,,,49,,28,7,,55,37,,77,,6,56,,,6,93,,,"59,53,21,95","8,60",,"48,25",5,50,"42,29",51,95,5,90,"74,30",,,,"32,88,4",29,33,,"76,13",48,,69,,"88,45",,23,,,34,,,23,66,,,13,,,19,39,"73,69","18,69",40,,18,"18,86",19,,19,41,"27,15","99,71",39,12
t2,3,100,,19,"25,12","8,40",,,"42,47,7",,,,,,"91,38",,,"22,39",,,,35,,,,,,15,,"21,86",98,,,5,,73,,"41,84,55",,,,15,75,,,"88,85,63",80,,42,"34,13",,,,36,,,,,,,71,70,39,,,40,,,,"35,99,40,59,62",,,,,22,,,,"9,69,53",,,"50,63",,,,30,,"82,22",96,,,,"73,70",,,28,"99,4","45,29",,62
t3,,,,"32,73",42,48,,,"90,21",,,,,,"99,27",,,56,,,,,,,,,,46,,71,4,,,,,"9,92",,"86,87",,,,24,"98,38",,,"66,90,15",,,"75,6","40,22,87",,,,37,,,,,,,69,,100,,,,,,,83,,,,,,,,,"68,73,75,50,31,63",,,"81,51,47",,,,26,,"26,3",,,,,"71,42,48,23,26",,,,,61,,61
t4,,,,"90,92,61",,,,,"48,4,46",,,,,,,,,90,,,,,,,,,,85,,"53,54",,,,,,"35,68,45,23,87",,"24,9",,,,,,,,"48,71",,,41,84,,,,,,,,,,,68,,,,,,,,,8,,,,,,,,,"3,37,12,13,54",,,"88,29,54",,,,,,72,,,,,"1,13,52,21,30",,,,,,,20
t5,,,,"97,94",,,,,"32,89,19,76",,,,,,,,,,,,,,,,,,,53,,"73,85",,,,,,"66,38",,,,,,,,,,,,,28,,,,,,,,,,,,90,,,,,,,,,48,,,,,,,,,"67,4,42,89,94",,,30,,,,,,"97,37",,,,,"82,46",,,,,,,86
t6,,,,"83,21",,,,,73,,,,,,,,,,,,,,,,,,,,,"9,43,55",,,,,,69,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"97,19",,,"8,35,36",,,,,,34,,,,,50,,,,,,,
t7,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,7,,,,,,,,,,,"90,54",,,,,,,
t8,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,71,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,91,87",,,12,,,,,,,,,,,47,,,,,,,
t9,,,,"48,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,82,99,98",,,,,,,,,,,,,,72,,,,,,,
t10,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,12,20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,
t11,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81,91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,
t12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
