Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99,Sursa_100
t1,,,"56,17,26",,,,82,"48,70",31,,,,"38,67,6",,42,22,"67,13,46",46,"73,26,46",,27,"92,69",50,96,,,,,,26,"37,7",,,65,,49,,97,,"45,47",2,,71,,3,,"66,45",49,27,,"53,85,47,39",3,,,,,,,,,"21,23",45,,66,,77,,,"50,4,71",19,"38,22","56,22",83,16,,,,,32,33,54,69,,,,,,,,"65,79",75,,40,99,,,,,24,33
t2,,,"65,91",,,,,"88,34",,,,,"65,57",,,58,"98,59,21,95",,"3,9,85,21,92,63",,,86,,,,,,,,,"1,36,30",,,"56,67",,"27,25,82,19",,15,,"17,21",94,,82,,,,,,,,"3,74,77,15,81,57",21,,,,,,,,,51,,,,,,,,"86,68,77,30",42,30,52,81,,,,,,"35,46",,"90,51",,,,,,,,,87,,,"19,45,54",91,,,,,"16,87","86,39"
t3,,,57,,,,,65,,,,,"77,89,26,30,31",,,63,"37,22",,"81,35,68",,,31,,,,,,,,,"35,11,44,95",,,"66,100",,62,,4,,"48,35,27,57",67,,1,,,,,,,,"98,4,37,40,12,13,82",53,,,,,,,,,"99,53",,,,,,,,"33,66",,,"60,39",,,,,,,15,,1,,,,,,,,,,,,"76,71",57,,,,,,7
t4,,,"72,74",,,,,"26,42",,,,,"4,70,72,43,52,29",,,46,"43,87",,"65,17,76,53",,,,,,,,,,,,"13,49,83,54,89",,,"92,39",,79,,,,"38,9,42,41,31","89,74,63",,81,,,,,,,,"8,41,21,22,61","71,31",,,,,,,,,"32,59,66,35",,,,,,,,,,,"65,41",,,,,,,,,44,,,,,,,,,,,,"25,82","65,9,31",,,,,,85
t5,,,"97,42,21",,,,,,,,,,"1,3,35,39",,,32,"16,9,64",,49,,,,,,,,,,,,48,,,"80,51,52",,,,,,"64,88,36","12,60",,,,,,,,,,55,"65,6,40,84,30",,,,,,,,,13,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,49,,,,,,,10
t6,,,"10,27,36,15",,,,,,,,,,"82,85,7",,,,"81,73,85",,15,,,,,,,,,,,,8,,,"85,79",,,,,,"82,60,68","9,21,6",,,,,,,,,,,"26,62",,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t7,,,"46,7",,,,,,,,,,,,,,"36,39,42,79,19",,"24,97,30",,,,,,,,,,,,,,,"88,33,94",,,,,,"99,71","36,13,38,23",,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t8,,,30,,,,,,,,,,,,,,"6,51,90,91,62",,"57,28,87",,,,,,,,,,,,,,,"35,70",,,,,,"90,43,30",59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t9,,,,,,,,,,,,,,,,,20,,38,,,,,,,,,,,,,,,"8,9,75",,,,,,"79,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,"87,31",,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t11,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
