Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99,Sursa_100
t1,"3,5,10,11,12,15,16,26,31,33,34,39,41,43,44,45,50,55,60,67,71,75,79,82,86,87,91,93,96,97","93,54",,"73,26",,1,,"32,88",,"80,73,86",,,,"1,83",,,,"1,20",,"42,90",,"32,1,99,10,14,26,27",,,"81,58","32,73,10,84,85,22,27","56,57,67",,"42,15",41,74,"26,52,84","1,94",1,1,,,,,22,"27,68,78","20,21",,1,21,68,,1,2,,1,"32,85",,"89,93",49,"1,22,57","41,10,83,89,27,31",49,1,99,,"24,1","57,68",,,"8,26",1,"41,10,83",100,1,,,"1,57",31,,"57,86",1,,1,"10,27,68",93,,"1,60","32,1,26","1,83,84",,,"1,23","1,2",7,,,"1,54",1,"81,26,93",,"1,63",,"14,22,57,27,63",24
t2,"4,68,70,74,76,78,80,83,21,29,94","81,25,55",,"32,68,70,74,77,57",,"4,5,10,11,18,20,21,27,32,33,35,37,38,49,51,56,57,65,69,73,75,82,84,88,89,95,97",,6,,"26,68",,,,"3,6,10,17,22,24,25,30,33,34,41,42,45,47,49,52,54,55,57,58,61,66,67,68,69,70,71,72,75,79,80,86,88,89,92,95,98,99",,,,"5,7,10,11,12,19,29,32,40,43,48,49,51,54,57,59,60,63,65,66,70,74,77,81,82,84,86,87,89,90,100",,"96,45,15,18,21",,"4,11,13,15,25,31,34,38,43,49,53,54,57,59,60,63,66,67,68,70,73,80,82,83,84,85,90,92",,,,"67,4,68,70,99,40,41,14,52,86,56,57,31","1,99,73,41,76,26,60",,"1,18,20,21,94","1,27",,"1,66,68,10,85,22","8,10,11,16,23,24,25,29,35,38,41,44,48,52,53,54,57,59,63,66,67,71,74,78,80,82,87,91,97,98","96,3,35,99,100,74,11,43,75,76,18,83,87,55,25,26,61,31","3,5,7,8,9,14,25,29,30,31,34,37,39,40,45,49,53,55,62,64,66,67,69,70,75,76,78,81,85,96,100",,,,,"89,41,26","1,99,4,11,76,14,80,83,22,56,57,26,63","18,3",,"5,10,18,20,27,30,33,45,46,47,48,50,51,54,67,68,75,77,79,80,81,84,91,93,98","1,15","32,4,70,73,10,80,83,56",,"3,7,8,9,15,20,24,30,32,58,64,66,67,68,70,73,77,92,99,100","89,93,55",,"4,7,13,16,18,20,23,32,39,41,43,46,47,48,57,58,63,64,68,72,74,77,78,81,87,99,100","26,68,84",,"81,25,26,58","89,81,2,54","8,10,12,14,15,18,21,24,26,27,28,32,33,35,40,41,46,53,59,60,61,69,73,74,75,76,77,78,79,81,83,84,88,89,93,94,97,99","1,66,99,4,68,73,74,80,22,26,30,63","89,55","6,8,11,12,13,14,17,21,23,24,28,31,41,42,43,46,48,51,57,60,66,70,78,79,83,85,87,88,99","57,26,22",,"4,5,6,7,8,9,19,20,28,29,33,41,42,44,45,51,52,54,55,56,57,60,61,70,75,79,82,84,86,87,91,96","67,4,99,73,10,76,14,80,83,60,61,31",,,"32,1,99,70,52,85,23,57,27","9,11,12,13,15,22,27,38,39,41,45,46,49,53,57,63,65,72,74,78,80,84,87,88,89,98","1,66,67,4,76,80,86,26,30",24,"5,6,7,12,13,14,18,23,27,39,45,48,50,51,54,55,64,67,68,72,74,77,80,82,86,87,88,91,93,94,95,96,99",,,"6,7,8,15,16,18,25,26,29,30,32,33,35,36,37,44,48,51,54,61,65,67,68,69,70,72,76,77,78,79,82,83,84,87,88,97",,,"67,4,99,89,27,60","6,10,11,21,23,26,29,31,33,36,39,40,42,45,46,48,60,62,63,67,70,78,79,83,84,87,88,92,93,95,100",,"3,5,8,9,12,15,16,17,20,21,22,27,29,31,32,36,39,42,44,54,61,66,68,69,72,73,77,78,80,85,86,88,90,91,93,96,97","67,99,70,11,76,14,57,31","1,2,25",,"4,8,21,23,26,27,28,33,35,36,43,53,54,55,56,57,58,61,63,65,70,71,75,77,79,84,85,88,89,97","3,7,8,10,16,18,23,24,27,34,35,36,37,39,40,45,46,47,51,52,56,57,60,63,64,68,70,71,77,80,85,92,95,96,99","5,6,8,9,22,24,26,31,35,36,37,38,40,48,49,52,57,58,60,63,64,68,69,70,75,77,82,86,87,89,95,96",,,"5,6,11,12,15,16,18,19,20,31,34,39,41,45,53,59,60,62,67,70,71,74,77,79,83,86,89,92,94,97,99,100","3,9,10,11,14,17,21,25,31,32,35,39,41,43,45,46,48,49,59,61,62,63,66,67,71,72,75,76,77,81,83,87,90,91,92,94,98,100","96,1",,,"8,12,20,21,24,25,33,38,39,41,49,51,53,56,57,62,67,74,82,84,87,89,92,94","4,5,6,8,11,16,18,21,25,26,33,34,40,42,45,49,50,55,56,57,63,64,65,67,69,70,72,74,82,85,87,92,99","1,66,99,73,77,54,25,58,27",,"7,8,11,17,19,21,24,27,29,32,33,34,35,39,43,46,49,52,53,55,57,61,67,68,69,70,75,81,87,89,90,91,92,95,100",,"32,1,67,4,68,40,41,10,80,26,60",84
t3,"89,66,73,42,46,14,85,57,30","89,1,58",,"1,67,99,41,10,11,76,83,22,89,27",,"2,8,14,15,22,24,26,31,41,42,55,58,61,67,68,70,76,79,86,90,94,99",,1,,"32,89,66,99,4,70,40,41,11,76,14,57,95",,,,"2,8,9,21,26,27,29,31,43,56,63,64,73,74,84,85,93,94,100",,,,"2,8,14,22,25,26,27,31,42,58,61,64,67,68,69,76,83,85,95,96,99",,"1,3",,"64,2,40,41,42,17,81,21,86,56,93,30",,,,"64,1,74,76,78,49,83,89,60,63","4,7,10,12,14,15,17,18,22,24,35,37,38,45,47,50,52,59,62,63,68,70,71,74,77,78,83,85,86,90,92,93,98",,"3,8,9,14,19,22,26,27,30,34,43,50,53,55,62,76,79,80,81,85,90,91,93,95,97,98","3,10,17,21,26,31,32,42,48,52,57,63,66,68,69,73,77,78,80,81,82,87,93,94,95,96,98,100",,"4,7,11,14,15,16,17,20,23,28,31,36,37,39,41,46,48,56,57,58,67,70,78,80,81,83,86,89","64,99,4,68,73,14,15,49,81,93,22,89,61,31","2,4,10,14,17,20,32,41,54,57,66,68,73,77,85,86,89,93,95","89,2,99,58,68,90,41,10,84,21,22,54,24,57,26,93,95",,,,,"32,1,2,78,49,57,95","6,7,10,12,19,20,29,34,35,37,40,44,47,51,53,54,55,60,66,67,69,70,72,73,74,86,88,95",1,,"32,89,2,4,58,70,41,42,73,49,83,21,22,95,25,26,94,57","7,8,10,11,16,22,25,29,31,35,36,38,43,44,48,54,56,59,68,75,80,82,86,94,96","1,66,67,99,8,52,84,22,85,26,27,60,30",,"96,4,90,39,41,10,11,14,17,18,83,84,85,25,26,27,57","1,58,22,57,26",,"8,73,42,76,49,83,85,22,86,24,26,27,60,31","89,99,4,70,41,10,14,46,80,24,57,56",,"66,4,70,73,10,49,84,85,22,27,95","1,74,22,58,93,95","66,4,68,70,42,80,52,85,54,23,58,29,62,95","9,12,13,14,21,29,44,46,51,52,61,64,67,72,77,78,81,84,86,91,95,100","1,2,54,22,57","34,3,68,100,40,10,45,15,49,84,62,89,26,27,61,30,63","1,4,68,70,40,73,10,14,83,56,89",,"2,66,67,90,99,73,14,18,83,88,25,26,27,92,30,95","1,70,17,49,85,22,26,27",,,"10,11,14,16,29,30,34,38,40,49,55,58,59,63,67,68,71,72,76,80,81,83,84,89,94,95,100","2,6,8,10,14,21,24,26,30,31,32,42,52,54,55,61,64,68,73,81,83,92,99","6,8,11,13,14,22,24,25,29,32,34,35,37,39,52,53,60,61,63,73,74,79,82,87,89,92,95,100","1,84,62","32,33,2,4,90,73,42,11,76,49,83,21,56,57,26,60,63,31",,,"89,66,99,39,41,10,14,80,21,22,23,85,86,27,60,93,63",,,"1,68,41,10,14,80,49,22,54,56,26","32,66,3,68,69,99,73,20,52,22,54,24,25,85,27,86,94,57",,"4,7,10,11,14,23,25,26,41,46,52,57,63,67,74,81,83,89,99,100","1,40,41,49,83,89,60,61,63","6,7,18,24,26,27,31,32,34,35,45,46,47,50,52,63,73,77,89,92,95,98,100",,"2,6,10,22,24,25,39,42,49,52,68,73,74,80,81,86,93,95,99","66,67,4,9,73,14,83,20,22,54,88,89,90,93,31","2,4,10,11,14,25,27,32,41,54,62,66,67,73,74,81,90,99,100",,,"33,66,4,68,69,90,8,40,10,42,73,21,22,85,24,57,26,63","33,68,69,8,42,74,20,85,22,54,57,26,27,93,30","4,6,10,19,21,23,24,28,29,31,42,43,44,46,50,56,58,60,63,65,67,69,71,72,78,80,81,82,83,85,89,94,97,98,99,100",,,"32,2,99,58,100,10,45,14,15,78,52,22,26,27","9,10,15,22,23,27,32,39,41,54,58,68,73,76,79,81,83,89,93,97,100","6,7,9,10,11,16,17,18,19,20,22,23,33,35,38,39,43,46,48,49,51,56,57,62,63,65,68,74,75,76,80,82,83,89,97,100",,"64,96,2,99,41,10,42,73,22,54,56,26,28,30",,"5,11,13,17,18,36,37,44,46,47,48,49,52,54,59,65,66,70,71,73,74,75,76,82,86,87,89,96,100",
t4,"32,8,54,22,27","3,11,12,17,22,26,27,28,29,32,33,34,42,44,48,49,50,51,57,61,67,70,72,73,77,82,97",,"2,5,8,9,15,16,17,20,21,29,30,31,34,35,36,42,44,45,58,63,64,65,66,78,80,85,86,88,90,100",,"39,74,77,80,83,52,54,23,25,28,93,63",,"3,4,7,13,15,16,17,18,21,23,24,26,27,28,29,31,37,39,41,45,48,50,57,58,62,69,73,89,90,92,94,96,97",,"1,67,81,83,54,22,27,60,93",,,,"32,97,4",,,,"4,39,41,80,17,55,56,93",,"6,7,9,10,16,17,23,29,30,31,32,34,39,48,49,51,52,55,58,64,65,71,72,86,99",,"89,58,20,94",,,,"65,2,39,11,12,75,46,80,17,55,24,25,58,59,61","32,96,2,42,80,84,95,25,30,31",,"99,68,5,40,41,10,73,77,83,52,84,54,23,56,25,92,57","2,67,4,70,7,8,76,45,14,49,18,83,20,85,22,24,58,60",,"99,8,40,74,49,21,55,88,90,27,60,93","32,2,58,70,42,76,46,83,86,55,56,26,27,95","67,70,8,42,46,22,90,27,60,30","32,73,74,11,80,83,86,56,27,61",,,,,"4,8,12,16,23,31,38,39,43,46,50,52,53,56,60,61,63,64,67,71,76,77,79,81,83,84,91,92,94,98,99","89,2,49,81,23,25,90,28,93,31","6,7,8,13,16,23,28,30,31,34,36,40,41,45,46,48,52,56,59,61,65,67,68,70,71,77,78,84,86,88,92,94,99",,"99,8,40,74,14,52,56,29","32,99,4,58,39,42,46,49,23,57,26,27","6,14,15,17,19,24,28,35,40,44,49,50,55,57,58,59,63,64,65,69,71,72,74,82,86,89,92,96",,"42,80,81,52,22,86,56,89,95,63","3,4,10,14,17,23,24,25,27,29,31,32,40,41,42,46,56,59,60,61,65,67,68,69,72,74,76,77,80,81,84,85,86,88,91,97,98,99",,"66,67,70,40,14,80,17,84,62,94,29,30","1,2,67,74,76,22,27,60,63",,"32,1,2,67,68,99,40,41,80,83,55,57,63","8,11,17,23,25,26,27,30,32,40,44,50,57,59,60,79,80,83,85,94,99","45,49,20,55,25","45,15,49,85,92,93","3,5,6,9,11,13,14,18,19,24,25,26,27,29,31,33,36,39,40,47,48,50,53,56,61,63,64,67,68,70,72,74,83,90,94,99","97,67,4,73,74,76,80,22,56,95","3,5,9,12,13,16,24,27,29,31,35,43,49,50,52,54,59,65,67,74,76,77,80,81,85,86,88,91,92,94,98",,"68,10,77,17,81,85,22,23,89,93","3,12,16,18,19,20,21,24,30,33,36,37,39,40,44,46,52,55,56,58,59,65,66,71,72,75,81,82,84,88,89,91,92,94,95",,,"73,42,43,74,17,54,22,93","66,3,4,100,77,17,93,85,56,25,29,95","2,40,43,15,49,81,84,54,88,57,27,93","8,11,20,21,22,23,34,35,42,44,47,48,50,51,54,55,56,63,67,70,71,73,74,77,81,85,88,89,90,94","66,15,17,81,20,85,22,58,61,30",,,"2,4,40,42,81,56",,,"2,3,11,13,15,25,31,32,35,37,39,40,42,44,45,48,51,52,55,59,62,65,70,73,74,79,81,83,85,88,95,97,98","64,4,8,41,76,14,80,81,55,56,89,61",,"64,2,70,49,58,60,95","2,5,6,16,22,24,26,30,32,42,44,46,50,52,54,56,58,59,62,64,66,69,72,73,74,75,79,81,84,85,88,91,93,94,97,100","96,99,4,68,69,70,41,10,42,74,14,84,85,22,54,56,57,90",,"67,40,41,11,46,15,18","2,74,81,55,25","80,93",,,"32,96,3,76,14,56,27,29","99,4,70,73,15,52,84,56,95","14,22,25,26,27,32,41,45,49,52,57,66,68,70,73,74,84,86,88,93",,,"66,4,73,77,80,81,85,86,55","66,46,14,78,80,84,86,88,60,29","32,64,2,67,70,40,14,85,86,24,90,60,30,31",,"66,40,74,76,14,15,78,83,85,93",,"2,42,81,55,25,58",
t5,"2,95","4,8,10,14,15,18,20,21,40,41,45,52,63,68,74,76,80,94,95,99",,"3,43,49,18,92,94",,,,"66,67,68,70,9,42,83,84,54,86,56,93,30,63",,"69,39,72,9,42,75,15,48,20,52,25,29,63",,,,,,,,"73,78",,"4,68,8,41,74,88,76,92,81,83,84,22,54,24,26,27,60,63",,,,,,"93,54,95","8,49,20,21,54,55,94",,"64,66,67,4,70,46,49,86,89","89,99,40,74,86,56,25,88",,"2,45,54,95","20,85,84,28,30","80,88,94",4,,,,,"97,34,68,73,10,42,14,85,86,24","96,58","32,4,90,9,73,14,83,22,24,57,26,27,63",,"24,66,60,15","64,70,77,14,18,84,85,60","9,81,21,25,90,29,31",,"49,2,54,97","100,70,8,20,52,54,62,30,63",,"33,15","7,8,9,13,18,25,29,35,36,40,45,47,48,49,54,55,58,62,72,81,86,88,95,97,98,100",,"3,5,8,11,12,14,17,20,28,29,35,39,43,48,50,52,53,59,62,76,78,79,88,98,100","64,68,41,73,76,56,88,63",2,"32,2,54","32,96,66,100,7,41,10,42,73,79,81,20,84,85,88,30,95","25,2,54,86","32,2,34,100,25,93",,"32,11,80,58,63","32,6,8,9,41,45,54,25,93",,,"56,4,21",,"70,85,21,56,58","32,66,58,68,40,10,15,49,52,25,26,27,93,57",10,,,"74,94,55",,,"66,6,8,18,20,23,24,58,28","49,2,28,58",,55,"33,4,8,45,25,95","67,76,83,21,86,60",,"78,29,30","49,58",,,,"52,7",24,"8,76,77,95",,,95,52,"96,4,8,41,84",,"60,84,86,31",,"93,28,29",
t6,81,"66,39,46,83,85,86,24,88",,54,,,,"25,10,14,49",,"24,90,45",,,,,,,,,,"89,2,66,100,70,73,77,14,80,85,95,25,62,57",,,,,,81,"88,89,58,39",,"2,74",6,,25,"17,90",,,,,,,"66,27,100,29",,"64,80,17,60,95",,,"66,83,52","3,20,93,95",,55,"66,90",,,"66,6,42,15,92,93",,"69,6,42,21,23,90","97,4,14",,"8,55","80,45,86","58,93,55","58,95,55",,"49,97","2,78,23",,,"45,86,15",,,"99,41,83,4",,,,28,,,"100,84",74,,,,"17,66,30",,,,,,,,,39,,,,,,,,,,
t7,,"60,62",,25,,,,"80,22,55,60,95",,62,,,,,,,,,,"93,69,61",,,,,,,23,,31,,,,"96,7",,,,,,,,,"10,54",,,30,"18,42,54",,,,,,,,15,86,,23,,,,,,,,,,,,"17,86,14,30",,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,
t8,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,93",,,41,2,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
