Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99,Sursa_100
t1,"4,5,9,10,12,14,16,17,19,22,26,29,34,45,47,52,58,61,63,65,71,73,74,75,77,79,80,83,85,88,93,96,97,99",49,"1,21",10,1,,96,,"1,92","80,70,22,86",68,1,,"1,60","1,42,21",,1,"1,42",,18,3,"99,68,14,89,26,27",,,81,"57,4,68","1,99,73,10,56,26","1,55",42,1,"57,10","1,26,84,22",,,,,,1,8,"26,70","1,73,78,22,57,26","20,29,15",1,,21,"1,68",1,,"1,2,74,81,58",,,84,1,1,28,"57,68,22","67,68,41,10,73,76,22,56,26,27,63",,,57,57,,"57,27,68",57,,8,"1,22","56,57,27",,"40,26",1,,"26,4,68","2,26",,,1,,5,68,"25,58,93",,17,"1,52,85","83,52",76,1,8,"1,26,74","20,7",,1,58,1,"81,25,54",1,,,"27,60,63",1
t2,"89,2,66,68,6,43,49,84,21,54,86,25,27,92,30,57",81,"12,14,15,16,19,30,33,37,40,42,48,52,55,57,59,62,66,75,83,85,90,93,95,96","68,70,80,22,57,31","4,7,8,12,18,21,24,29,31,34,35,38,48,51,53,55,56,58,60,62,66,68,71,75,80,81,82,93,94,95,100",,,,"8,12,13,18,21,23,24,26,28,32,33,39,40,42,43,44,45,47,48,55,57,58,59,63,66,69,72,75,76,78,84,85,89,90,94,98","1,67,4,68,99,40,41,76,14,56,57,26,27","41,10,76,80,83,26","3,4,6,10,11,19,20,25,29,33,34,37,38,43,45,49,51,52,54,57,58,59,63,66,67,69,76,77,83,86,88,92,93,97,98,99",,"4,5,6,7,10,12,13,20,23,25,26,27,36,42,55,61,69,73,75,76,80,99","3,5,11,17,23,24,29,32,36,39,44,45,46,54,56,57,60,61,62,66,72,73,74,75,77,79,85,89,91,92,96",,"4,14,15,16,28,29,32,40,42,44,47,50,51,57,61,63,68,77,80,81,83,85,86,87,99","10,12,13,15,16,19,20,25,27,31,32,44,46,47,48,51,53,54,55,63,65,67,75,83,84,91,96,97,99,100",,1,,"66,67,4,70,74,80,81,52,56,57,95,63",,,"89,93,95","67,41,10,73,46,86,27,61","4,8,12,16,17,22,28,29,31,32,35,36,38,40,45,54,55,57,58,62,64,66,67,68,71,72,74,75,76,80,81,83,84,85,87,88,90,91,97","9,10,12,16,18,22,24,30,35,40,42,47,51,58,59,63,65,68,69,72,76,78,79,80,85,88,90,92,95,100","1,18","5,7,14,18,24,31,34,37,38,39,45,48,52,55,56,59,63,75,77,79,85,86,87,90,93,96,100","67,68,41,73,76,80,56,89,26,27","3,7,8,9,12,13,15,19,27,28,30,37,40,41,52,53,56,57,58,59,62,66,70,71,74,77,78,79,80,81,86,88,89,91,93,95,99,100",,,,,,"5,6,7,11,16,18,23,25,26,29,32,33,43,47,49,54,55,61,65,66,71,72,73,74,76,81,82,83,85,89,90,92,94,95,98",,"32,1,68,41,74,80,84,85,27,95","3,4,8,10,19,20,25,27,31,32,37,39,42,46,47,49,55,56,58,62,64,66,68,70,76,79,80,85,87,88,91,99","1,90,21","64,97,66,37,40,10,45,78,15,16,81,18,84,85,23,24,89",,"3,15","4,9,11,12,13,14,18,19,20,22,24,26,28,29,31,35,40,43,45,47,48,53,62,63,75,83,89,90,91,92,95,98,99","7,12,13,17,20,21,22,27,30,36,41,44,48,52,65,74,75,82,83,84,85,88,89,90,91,92,93,94,97,99",,"8,10,15,17,20,22,23,24,25,26,29,30,31,41,42,43,44,48,52,54,66,71,72,78,85,86,90,98",,,,"5,7,13,19,21,25,26,27,30,31,34,36,44,45,46,52,56,59,60,62,63,64,70,75,76,79,81,83,88,91,98,99","12,13,14,15,18,19,21,27,29,30,31,32,34,36,38,43,44,46,49,52,58,62,63,65,75,77,80,81,83,85,87,95",,"32,1,64,99,73,10,11,76,14,46,61","32,1,97,99,70,11,14,78,83",,,"64,99,14,22,26,63","99,83,22,56,31",,"1,99,70,41,10,73,76,46,83,26,31","27,61",,32,"5,12,17,21,23,24,26,34,35,39,40,42,47,51,54,55,59,62,66,77,84,86,90,98,99","64,1,99,73,14,89,60,63",,"1,66,99,73,77,57,95","4,6,7,8,9,12,13,27,33,35,39,42,44,52,59,68,70,77,80,82,89,94,100",,"66,67,99,70,10,11,77,46,14,83,52,86","66,40,41,49,55,57,27,93,95",,,"5,9,10,12,14,16,17,21,22,23,25,29,35,37,41,48,49,53,59,62,64,67,70,71,74,79,81,83,87,92,93,94,95,96,99",,,"32,67,70,73,57",54,,30,"4,5,6,7,68,73,10,74,44,17,49,81,55,88,89,30,63","32,1,66,68,84,57,60","1,68","4,7,9,12,13,14,23,24,25,32,41,61,69,70,75,76,79,84,85,86,92,98",1,"6,10,11,14,16,19,20,21,23,27,28,31,34,35,37,38,40,45,46,50,52,53,54,55,57,58,63,69,71,75,76,77,78,79,83,85,86,87,99",,,"8,9,12,14,15,16,23,32,35,40,42,43,50,51,52,54,55,56,57,60,61,62,68,71,74,78,80,83,88,89,96","81,1,49","4,8,18,25,39,42,44,45,47,51,52,56,57,62,63,70,71,72,74,75,78,83,86,87,96,97,100","1,58,49","3,8,12,15,16,20,24,26,32,35,37,40,43,44,50,52,55,59,63,66,67,68,71,74,77,78,82,83,85,87,93,98,100",,,"57,4,68","3,6,7,17,18,26,27,28,29,34,42,43,44,45,46,49,50,51,56,59,60,63,64,65,69,70,72,82,87,88,91,97"
t3,"32,67,3,70,41",,"32,2,99,58,68,70,7,10,76,17,20,84,25,26,60,61,94,31","64,1,67,73,76,46,14,83,56,89,60,63","32,33,3,69,70,39,90,73,10,11,42,43,49,83,57,26",,,,"64,96,2,99,68,70,41,10,73,14,93,22,86,56,88,61","8,15,16,18,19,25,28,29,32,34,35,36,39,45,46,47,60,63,64,66,69,73,77,82,83,84,87,91,93,95","32,1,89,67,4,99,70,73,17,22,57,27,30,95","2,68,42,74,14,15,80,81,21,22,55,24,85,56,27,60",,"89,68,8,41,74,45,81,18,54,86,57,58,29,95","64,99,68,14,49,83,84,22,26,31",,"66,58,70,76,46,52,21,22,94,89,26,27,60,30,95","66,68,69,73,76,60,17,49,52,86,57,90,28,93,95",,"10,17,26,27,28,31,33,38,40,43,47,52,56,58,69,73,74,80,85,88,93,99,100",,"1,2,8,40,10,73,49,83,86,25,93",,,"2,74,54","1,78,80,22,30","2,70,7,41,14,49,52,21,60,93","4,5,11,20,25,26,27,32,45,52,54,57,67,81,84,86,93,94,99","7,9,10,11,14,16,20,21,23,30,40,47,54,55,63,68,69,75,78,83,84,85,97","97,2,99,68,76,84,54,57,26,27","1,66,99,4,11,78,49,83,52,84,22,95,63","2,4,10,14,21,23,25,31,42,54,55,61,64,67,68,76,83,90,96",,,,,,"2,4,8,9,10,15,20,22,27,31,41,57,58,68,79,84,86,93,96",,"3,4,5,7,11,14,15,16,19,22,24,29,30,31,35,36,37,39,43,44,45,47,48,49,55,57,64,71,76,79,81,83,86,89,93,97","67,5,6,40,14,15,81,52,21,54,23,24,86,93,29,94,63","5,6,7,10,18,25,34,40,41,45,55,57,66,70,71,72,86,93,96","2,68,8,73,49,83,20,25,26,29,62",,42,"96,97,2,34,67,100,73,10,42,49,81,57,27,60","32,33,96,67,58,68,70,42,14,24,25,26,57",,"32,89,67,4,68,99,7,40,73,77,14,80,83,84,57,95",,,,"14,17,22,23,32,41,42,43,49,57,66,67,68,80,85,86,89,90,93,95,97","97,99,4,68,8,10,22,24,25,26,93,57",,"4,6,7,13,16,26,28,31,34,36,39,41,44,47,48,49,50,53,54,58,59,75,78,80,83,84,89,90,93,98","7,8,13,17,23,24,31,34,37,40,42,46,47,48,50,54,55,59,62,66,79,85,100",,,"1,66,67,68,40,73,77,83,27","1,26,68,63",,"3,4,9,12,14,17,18,22,24,28,30,32,35,40,42,48,51,52,54,58,60,66,67,69,74,78,80,82,84,85,86,90,94,97","1,4,68,41,14,22,26",,26,"2,4,7,10,14,27,28,43,45,49,52,68,70,74,76,83,85,88,93,95,96","4,5,8,9,11,12,20,21,22,25,26,29,30,37,39,40,42,44,46,50,51,65,66,76,79,81,82,83,85,86,87,91,93,95,96",,"3,6,7,8,10,11,14,16,21,24,28,30,34,37,38,41,44,46,50,54,55,56,61,63,65,67,71,76,79,83,84,89,92,93,94,100","69,90,41,11,76,45,83,22,24,57,26,88,92",,"1,8,40,85,22,57,27,60,30","1,67,68,99,70,73,10,81,83,54,22,56,25,58,63",,,"2,7,15,24,26,31,40,42,45,54,55,57,58,60,63,66,68,80,85,88,89",,,"64,1,99,40,85,26,27,60,31",55,,41,"97,58,90,76,80,86,57,26,27,28,31","3,11,14,20,22,26,27,33,34,37,41,42,51,54,56,69,70,77,78,80,81,86,88,91,93,94,96,97,98","3,9,16,17,18,22,24,26,28,31,32,35,39,40,42,44,46,47,49,50,52,53,54,55,64,66,67,70,75,80,84,85,87,92,93,99","96,66,68,8,40,78,83,52,22,57,26,27","5,6,9,22,25,28,30,31,33,36,37,38,45,51,53,57,61,68,69,78,80,81,82,86,91,93,94,97,98","64,2,67,4,68,70,8,41,42,43,73,17,49,81,22,24,60,30",,,"67,99,6,46,49,18,84,85,22,95,24,25,26,27,63,94,31","2,8,11,13,16,19,20,22,25,29,30,31,32,33,35,37,38,41,43,44,52,56,57,59,62,64,65,68,70,72,76,79,80,85,87,89,92,94,97,99,100","32,2,66,73,10,76,14,17,84,93,22,24,27,60,61,30,31","2,4,8,11,17,24,31,36,37,38,42,51,61,64,66,68,74,76,80,82,90,93,96,99","10,11,14,22,23,27,29,34,42,46,54,56,57,70,73,80,84,95,97,99",,,"32,1,41,10,73,14,22,56,26","96,67,4,68,99,73,74,77,15,83,55,22,23,57,90,94,31"
t4,8,,"8,74,80,49,81,86,24,56,27","2,13,19,24,27,30,32,36,37,40,41,44,48,49,52,55,59,65,66,74,81,84,86,90,93,94,97,98","64,96,99,41,76,45,15,20,52,22,54,85,61",,,,"67,46,80,49,83,27,60,30","2,42,43,81,85,54,88","6,7,8,14,19,20,23,25,35,37,39,44,48,50,51,52,54,56,60,63,64,74,81,84,86,87,88,90,98,100","32,41,46,26,95,31",,"32,64,70,46,78,21,22,56,88,93","40,41,80,52,58,27",,"33,8,10,49,54,24,25","64,4,70,7,41,74,14,26,61",,"32,89,66,67,4,68,70,8,41,14,81,84,22,57,94,95",,"5,6,11,17,18,19,21,30,31,35,36,38,39,41,42,44,45,47,48,51,53,54,58,60,61,64,72,75,82,84,85,88,92,96",,,"1,49,55,26,31","7,16,17,19,24,25,31,32,33,37,39,42,45,49,51,54,66,69,83,87,91,93,94,95,97",25,"64,41,73,77,14,49,83,56,89,60","32,67,90,70,8,41,73,76,49,52,22,25,26,28,57","32,89,67,4,41,10,11,73,74,80,22,25,61","3,6,7,9,12,13,14,15,17,24,29,32,40,43,45,47,50,54,58,61,72,74,77,79,81,85,90,91,92,96,97","11,45,46,17,60",,,,,,"67,99,70,14,80,56,88",,"96,34,66,99,10,42,52,21,54,25,58,60,62","89,2,100","99,4,73,76,14,63,22,54,58,27,28,61,95,31","67,4,99,39,41,74,76,77,14,80,54,55,88,57,27,93,95,31",,,"64,69,70,7,41,74,54,55,56,25,58,94","66,100,10,76,45,80,81,18,54,61,62,63",,"64,11,56,27,60,61,63",,,,"96,4,8,73,10,11,20,84,54,58","64,66,67,70,40,41,73,76,23,60",,"96,2,88,74,43,81,20,85,24,25,27,95","2,39,43,49,20,84,88,90,94,95",,,"4,5,6,7,9,10,12,13,17,18,20,21,23,25,32,33,34,39,41,42,44,45,47,48,51,58,62,65,69,70,76,78,80,84,85,89,92,97","4,7,9,10,11,12,13,15,27,34,36,39,42,43,45,46,48,51,62,64,69,73,86,87,88,93,94,95,96,100",,"96,8,15,20,21,55,56,92,93","7,10,12,29,32,33,36,38,39,40,43,46,54,56,70,71,73,74,75,76,77,78,79,83,84,85,88,89,95,96,99",,"1,40,80,22,57","32,89,41,11,81,56,25,58,57","32,3,7,41,10,74,80,18,52,84,54,23",,"96,2,68,5,74,43,80,81,22,88,90,27","99,40,73,10,14,78,17,84,21,85,23,56,60,95,31",,"6,12,17,21,23,28,31,32,39,42,44,47,51,53,56,63,69,76,80,87,88,98","3,4,7,8,11,12,14,17,21,24,31,32,34,36,38,39,43,46,47,51,52,60,64,65,72,77,79,80,82,84,88,89,90,92,100",,,"4,6,8,73,76,52,90,61",,,"3,4,9,10,11,12,14,15,18,21,24,29,34,41,45,46,52,54,55,58,63,65,66,72,74,76,79,83,84,86,87,88,89,91,93,95,100","1,49",,57,"99,70,41,14,83,56,93","89,99,4,100,6,7,73,10,43,15,21,55,25,30","89,2,41,10,14,15,83,20,56,57,58,27,60,95,63","64,67,99,39,73,11,17,95,63","58,41,10,76,14,46,17,49,83,55,89,26,27,92,95,63","56,100,93,95",,,"97,2,73,81,20,93","67,73,10,42,14,78,84,54,24,26,27,61,63","67,58,68,81,54,55,89,26","32,89,7,73,10,21,22,23,86,57,26,27,29,94","89,4,41,18,25,60,61,31",,,"3,5,7,8,23,30,33,34,38,39,40,47,49,55,58,59,66,67,72,76,77,80,81,89","33,41,10,14,89,61,30"
t5,,,"100,39,22,88,89","58,8,54,25,26","67,27,63",,,,31,"49,20,52","97,42,49,18,85,24,58,93,31","40,73,89",,"40,52","93,70",,"93,31","40,89,22",,"76,49,83,86,63",,15,,,"4,9,15,22,23,27,32,35,41,45,52,53,56,57,58,62,67,71,73,77,79,80,84,86,88,92,94","2,90,8,74,81,84,55,58",,,"88,81,99,89","49,70","5,8,21,88,25,60,93",,,,,,,63,,"73,2,18,63",,"32,2,68,80,49,83,89,26,60","60,86,63",,,93,"8,69",,97,,,,18,,,"67,23","89,81,74,96",,,"3,8,15,49,86,93,94,95","70,41,14,81,20,21,23,90",,"2,23","2,8,49,52,94,24,25,30,31",,"3,7,10,11,12,17,18,20,23,24,27,28,29,33,35,41,48,50,54,56,59,61,63,65,67,74,76,81,83,87,92,93,99",64,"88,49,2,31",,"20,23","81,74,30,15",,"97,3,74,15,20,29","96,42,15,20,85,30",,,"32,27,20,39",,,"2,42,43,78,49,81,22,25,28,30","7,16,29,32,33,34,36,37,40,50,56,57,59,65,68,70,72,74,75,76,77,78,83,85,87,89,92,96,98,100",,"1,76,14,56,89,26,27,63","40,54,22,78","67,76,17,49,90,29","73,25,74","54,10,30","2,66,70,73,74,52,84,54,85,60",,,,"41,58,4","4,77,15,18,83,21,95",49,"67,70,41,15,52,84,88","81,49,58,30",,,"96,2,43,21,86,54,93,94","80,2,86"
t6,,,"41,6,23","88,99",97,,,,74,"58,90,55","2,21",,,,"81,25,10",,74,,,55,,29,,,"68,8,40,10,42,76,14,78,21,85,24,29",85,,,"2,6",,2,,,,,,,,,,,"56,74,84,85",,,,,"39,23",,,,,,,,,8,93,,,"81,2,29,54","8,18,58,60",,88,23,,"96,2,68,90,100,73,42,14,78,49,86,25,58,94,31",,55,,,"25,2,49",,49,"29,94",,,"56,18",,,17,"90,10,14,15,46,84,22,24,26,27,63,94,31",,"2,9,10,19,22,23,36,38,49,50,51,54,55,65,67,68,70,72,73,74,75,77,80,82,86,90,91,92,93,97,99,100",95,"2,58",4,"89,2","24,32,40",,,,86,60,,78,2,,,,54
t7,,,,,,,,,,,"45,55",,,,"67,76,95",,,,,2,,,,,"66,99,70,39",,,,,,,,,,,,,,,,,"24,52",,,,,,,,,,,,,,66,58,,,,"25,49",,,,,"89,4,70,95",,,,,,,,,,,,,,,"67,41,42,80,52,21,62,95",,"32,4,69,8,11,46,60,81,20,24,25,58,88,28,95,31",25,,,,62,,,,,,,,,,,,95
t8,,,,,,,,,,,,,,,86,,,,,54,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,54,,,,,,,,,,,,,,,,,,,,"3,45",,6,,,,,,,,,,,,,,,,,
t9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
