Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99,Sursa_100
t1,"3,4,5,6,7,8,9,12,13,14,16,20,22,23,24,26,27,35,37,41,43,44,46,47,49,50,52,53,54,55,56,58,61,62,63,66,70,72,75,82,83,84,85,87,89,90,91,92,93,95,99,100","89,49,93,54",,"10,27,86",,"88,1",1,"32,1,66,39","1,92","57,67,76,31",,,,"66,99,68","1,29",,"83,30",,1,"1,42","45,15","89,1,67,99",,"100,52,62","81,58,54","68,40,41,10,73,80,84,89,95","56,70",55,15,"1,83,17,41","57,10","8,1,84",1,,1,,1,1,8,"1,26,22","73,68","1,15",,,"1,42","1,68",,,"1,74,81,55,58,31",1,1,"24,1,26",,"25,2,55","49,28,54",68,"64,1,99,68,41,83,22,56,26,63","81,25",1,"99,14",,,"99,27",1,1,26,"1,10,68,22","32,1,4,73,76,46,80,83,26,27",1,"40,1,10,27",1,1,"1,68,41,10,57","1,2,26,31",,"1,10,86",,,,"26,68","89,1,93",,"66,99,14,85,30","52,85","32,1,83,52","1,76",1,"8,1,23","1,2,57","96,20",,"1,9","58,54,95","1,33","1,93,25","1,90,7",1,,"26,68,14,22",1
t2,"2,10,18,25,28,31,32,34,40,57,60,67,68,73,74,77,79,80,81,88,96,97","1,74,81,55,57,25,95",,"67,68,99,73,76,80,22,57,26,31",,"3,8,12,13,14,15,16,17,18,19,22,23,26,27,30,32,33,34,36,37,38,39,42,44,45,46,48,51,52,55,57,60,63,66,67,68,71,75,76,77,79,80,81,83,92,94,98,99","3,5,6,11,13,14,17,20,21,22,23,26,31,32,35,42,44,46,47,48,52,54,58,61,63,73,74,78,81,82,83,87,90,93,94,95,97,98,99","4,5,14,15,17,18,21,22,24,25,26,33,35,38,41,42,43,45,46,47,49,52,53,54,55,56,62,64,65,67,68,71,72,74,75,76,78,80,81,82,84,87,89,91,92,94,95,99","4,8,10,11,12,13,14,15,16,17,19,21,23,24,25,27,28,29,30,32,33,34,35,37,40,47,49,51,53,54,58,61,65,66,68,71,72,76,78,79,80,83,88,89,90,91,93,96,98,100","64,1,41,73,74,49,83,22,56,89,26,27",,,,"32,1,73,10,76,83,22,56,57,27,60,63","4,9,14,19,22,23,24,25,28,32,33,36,38,39,42,44,47,48,52,53,55,57,58,59,60,61,62,64,70,71,72,73,74,77,78,81,84,85,89,93,94,98,100",,"60,14,68",,"3,4,6,7,10,14,16,17,18,24,25,26,27,28,30,32,36,37,38,40,43,45,47,51,52,54,59,60,62,65,69,72,73,74,75,77,79,80,81,83,84,85,89,92,93,94,95,98,99,100","3,6,8,9,10,15,16,17,18,22,23,25,26,29,30,32,36,38,39,40,41,43,45,46,50,56,59,60,66,67,70,73,75,77,78,81,82,84,86,88,90,91,95,97,99,100","1,42","6,10,11,12,14,16,20,21,23,24,25,26,27,32,33,36,37,39,43,45,48,49,50,51,52,54,56,57,58,60,61,62,64,66,71,72,73,75,76,79,80,81,83,84,85,86,95,96,97,98,100",,"32,1,69,84,26","2,49,55,93,95","1,2,4,11,22,24,27,32,46,49,52,54,56,57,67,70,74,76,78,81,85,86,93","40,1,68","1,54,49","1,21","3,5,8,11,12,13,14,21,26,27,31,32,34,35,37,38,39,42,44,53,56,57,58,59,64,65,66,68,69,75,78,82,87,89,95,99,100","1,99,4,68,70,76,83,22,86,26,63","3,4,7,12,17,19,20,23,26,27,28,29,30,33,38,39,42,44,46,48,52,56,57,58,60,61,62,63,64,65,66,67,72,73,74,77,79,81,87,91,92,93,97,99","3,4,5,11,13,14,16,17,18,19,20,25,26,28,30,31,34,35,37,38,42,44,47,49,53,61,63,73,76,79,86,87,91,92,94,95,98",,"3,9,12,16,18,19,20,22,23,24,25,26,27,29,30,33,34,37,40,44,45,46,47,49,50,52,55,57,58,60,62,63,67,74,75,80,81,84,85,91,95,100",,"3,5,6,11,12,15,16,17,18,19,20,22,25,30,31,32,35,36,38,42,43,46,47,50,51,53,54,55,56,59,61,62,63,65,67,68,70,72,74,75,76,77,79,80,83,86,87,89,90,91,95,96,98,100","4,5,8,10,11,12,21,22,25,28,30,31,35,36,40,43,44,45,46,47,49,52,56,57,58,61,67,68,73,75,76,78,79,82,83,84,86,87,88,95,96,97,98,99,100",23,"3,4,5,6,7,8,11,12,14,15,17,18,20,21,23,24,27,28,29,30,31,32,34,35,37,38,39,41,42,43,46,48,50,51,52,53,54,56,57,61,66,67,68,69,70,71,72,73,77,78,81,82,83,84,85,87,88,89,92,93,94,95,96,99","1,67,10,76,46,22,56,57,26,27","3,4,6,7,11,16,17,18,22,23,24,26,27,28,36,37,40,41,44,48,49,50,52,54,59,63,66,67,68,69,70,74,78,79,80,82,83,84,85,86,87,90,91,96,100",,,"5,6,9,12,14,15,16,17,18,20,23,26,28,29,30,33,34,37,39,43,46,47,49,50,52,53,55,57,59,62,63,64,65,67,68,69,70,71,72,73,77,84,88,90,92,93,94,95,96,99,100","3,6,8,10,12,13,15,20,22,24,26,27,28,31,32,34,35,38,39,40,41,43,44,45,48,54,56,57,58,59,60,63,64,67,70,73,76,77,78,80,81,82,85,86,89,92,94,95,97,99",,,"2,5,7,9,10,11,12,17,19,21,25,29,30,32,33,39,40,41,42,44,45,46,47,48,51,52,53,57,59,60,61,64,66,68,73,75,76,78,79,83,87,88,92,93,94,96,97,98,99","4,5,6,9,10,11,12,16,18,20,21,24,25,26,29,31,34,36,37,42,45,47,48,49,54,55,57,58,62,64,67,68,72,74,75,76,79,81,84,86,87,88,94,98,99","3,4,5,10,11,12,14,15,18,21,23,24,27,31,32,33,35,36,37,39,44,45,48,50,52,55,56,58,60,62,63,64,67,70,75,78,81,82,84,85,86,87,89,90,94,95,96,97,98,99,100","3,4,5,13,15,18,20,21,22,23,25,27,31,32,36,37,38,39,40,41,42,43,45,47,48,49,54,56,57,58,59,60,64,66,67,70,72,73,74,75,76,77,78,79,81,84,86,87,88,91,94,95,97,99,100",,"81,49,28,95","89,1,2,25,58,95,31","32,1,67,99,10,80,83,57,27","3,4,5,6,7,10,11,14,16,17,18,21,23,24,25,27,30,31,32,34,35,37,38,39,40,42,44,46,47,48,49,52,54,55,59,65,66,67,70,71,72,73,74,76,77,78,79,80,81,84,85,87,89,90,93,97,100","1,49,54,93,95","4,6,8,9,11,14,16,17,19,23,29,37,39,42,43,44,48,49,51,53,54,57,58,60,67,72,75,77,78,81,83,84,86,91,97,98,99","68,83,57,26,27",,,"67,4,68,73,80,22,26,60","3,4,8,13,14,18,19,20,21,23,28,29,30,32,33,35,36,37,41,42,44,46,49,50,51,52,57,58,60,61,69,70,72,74,75,77,78,81,82,83,85,86,91,93,94,95,97,99,100","3,8,9,10,15,16,19,21,24,25,28,30,33,34,35,36,39,41,43,44,48,49,50,51,52,56,57,59,63,66,67,75,79,81,83,84,85,90,91,93,94,98,99","32,1,10,77,80,52,22,27,95","3,4,7,8,9,11,12,15,16,20,26,27,32,34,36,37,40,41,46,47,48,49,53,55,56,57,60,61,63,64,70,71,72,73,75,76,78,82,83,85,86,87,88,89,92,93,94,96,97,98,99,100","6,7,8,9,10,11,12,14,15,18,19,21,22,23,24,25,28,29,30,31,33,34,35,39,41,43,47,48,50,56,57,60,62,63,65,66,67,69,71,72,74,75,77,82,84,85,86,89,91,92,93,94,96,97,98,99","5,6,7,10,11,15,18,19,23,24,25,26,28,30,32,36,39,40,41,42,46,47,51,52,53,55,57,62,63,66,68,71,72,74,76,77,80,81,85,86,87,91,92,93,94,95,97,98","4,5,7,8,9,14,19,21,22,26,28,29,30,32,33,35,39,41,46,49,52,56,57,58,59,60,63,64,68,69,71,73,74,76,77,78,80,81,87,92,97,98,100","4,5,8,11,15,16,17,19,21,22,24,25,26,27,31,32,34,35,38,39,41,43,46,47,49,50,51,52,53,55,57,59,62,63,64,65,66,68,72,73,76,77,78,80,81,82,84,88,89,90,93,97,98,99,100","3,4,5,7,16,17,18,21,22,24,25,26,28,29,30,31,32,33,34,35,37,39,40,42,46,47,51,59,60,62,66,68,70,73,74,75,78,79,80,81,82,83,84,86,88,89,91,93,94,98,100","3,4,5,7,11,14,15,17,22,24,25,26,27,28,29,31,32,36,37,38,42,44,47,48,49,50,51,53,54,56,58,60,61,64,70,72,74,76,77,78,79,80,82,83,87,89,90,92,96,97,99","4,6,9,10,12,16,17,27,32,33,35,40,41,42,43,44,46,47,49,50,51,52,55,56,57,58,61,65,67,69,72,75,76,77,79,80,82,83,87,88,90,93,94,95,96,97,98",,"4,5,6,8,11,14,15,17,18,21,22,25,27,29,34,35,36,37,43,49,50,55,56,57,59,60,61,63,64,66,67,69,70,71,73,74,75,80,82,83,87,88,91,92,94,95,96,99,100",,,,"32,89,66,99,4,70,41,10,11,73,46,52,22,57,95,63","2,3,5,6,7,9,11,20,22,25,26,27,28,29,32,33,35,37,39,42,47,50,54,55,56,57,58,59,60,62,63,67,70,73,74,75,79,83,87,90,92,96,97",,"32,1,84,22,26,27","32,1,26,83","4,6,8,17,22,25,26,27,28,29,30,35,38,39,40,44,49,50,51,54,55,57,60,61,65,69,70,71,72,73,76,78,79,80,81,88,90,92,94,96,97,100","3,4,12,14,18,19,22,26,30,32,34,36,40,41,43,47,50,56,57,58,60,62,68,72,77,80,83,85,88,92,93,96,97,99","10,13,15,16,17,18,20,21,23,27,28,29,30,32,33,34,37,47,48,49,50,52,54,55,56,57,58,60,61,62,63,64,65,67,69,72,74,75,76,82,83,86,88,90,91,93,98","3,7,9,10,15,16,18,20,21,25,27,28,29,30,31,32,39,46,47,48,53,55,57,59,63,64,65,66,68,69,71,72,73,75,82,85,86,90,93,95,99,100","3,4,8,10,12,14,17,18,19,24,25,26,29,31,32,33,34,37,38,40,41,42,46,47,48,49,52,53,54,56,58,61,62,63,65,67,68,69,71,73,75,76,79,80,81,83,86,90,91,92,93,95,96,99,100",18,,"5,7,8,11,12,16,18,22,24,25,28,29,31,35,36,38,39,40,42,43,46,49,50,51,54,55,56,58,63,64,65,67,68,69,70,71,74,77,79,80,82,84,85,88,89,90,91,95","1,2,81,49,25","3,4,5,6,7,10,12,13,16,17,19,20,22,24,25,27,30,34,36,39,41,44,45,46,47,48,49,50,54,56,58,59,62,65,68,69,71,72,73,75,76,77,79,82,83,84,86,88,89,90,91,92,97,98,100","2,4,5,6,7,8,9,10,12,15,16,17,18,21,23,24,26,27,30,31,32,36,41,44,46,49,52,54,55,56,57,60,63,66,68,70,74,75,76,77,80,82,83,84,87,90,91,92","3,5,6,8,9,10,12,20,21,23,24,25,28,29,31,33,35,37,39,40,44,45,46,47,54,56,59,60,61,63,68,69,71,72,76,78,79,80,81,82,83,86,87,92,94,98","3,5,6,8,14,20,22,24,26,27,29,31,35,36,38,39,41,43,45,46,48,50,51,52,53,54,55,56,57,60,64,65,67,68,69,71,75,78,81,82,86,87,88,89,90,91,92,93,94,95",,"1,4,10,11,27,32,40,41,46,56,57,63,66,73,76,77,80,83,85,89","3,4,6,7,9,10,12,13,14,16,17,19,20,21,22,23,24,26,27,28,29,32,34,36,37,38,39,42,46,47,48,50,52,57,58,59,60,61,62,63,64,65,66,68,70,72,73,75,77,78,83,85,88,90,91,92,93,94,95,98"
t3,11,"3,4,8,10,11,12,13,15,16,19,20,21,22,23,24,26,27,30,32,33,34,35,36,39,40,41,43,44,45,46,47,51,56,58,59,60,61,63,67,68,70,72,73,75,77,82,83,85,87,91,96,97,100",,"32,1,64,70,40,41,74,14,83,52,56,89,60,61,95,63",,"4,9,10,20,21,24,31,40,41,43,49,56,61,64,70,73,74,84,85,89,93,95,97","4,15,18,25,27,30,33,40,41,45,49,55,56,57,60,66,68,79,84,85,88,89","2,3,70,9,10,73,83,20,85,57,58,27,93,31","2,3,7,20,22,26,39,41,42,43,45,46,52,55,56,57,60,62,63,67,70,73,74,81,84,85,86,94,95,99","2,3,4,5,7,8,9,11,14,19,20,21,24,25,28,30,32,34,37,39,40,50,51,52,53,54,55,58,59,61,63,65,66,68,70,75,77,78,80,81,85,87,91,92,93,95,96,97,98,99",,,,"3,4,7,8,12,13,16,19,20,21,23,24,25,26,31,36,37,38,39,40,41,43,44,46,48,49,50,53,59,62,64,65,67,69,70,71,75,77,79,80,81,84,85,86,87,88,89,91,92,93,94,97","2,8,10,21,26,27,31,40,41,45,49,54,56,63,66,67,68,69,76,83,88,95,99",,"32,1,99,4,70,41,10,73,76,46,80,57,27",,"2,8,9,20,22,41,42,49,55,57,58,66,67,68,70,76,86,90,96","89,4,68,74,14,83,52,21,54,85,24,57,58,27,92,93,63","3,4,6,7,8,9,11,12,18,20,23,28,30,31,32,34,35,36,40,46,51,52,54,59,60,64,65,68,70,72,75,78,80,81,82,83,84,85,87,94,97,98,100","4,5,68,69,8,41,42,74,93,55,88,94,63,30,31",,"3,4,6,8,10,12,13,14,15,20,21,25,27,29,30,31,33,37,38,39,40,41,42,45,46,47,48,51,53,55,56,59,60,61,63,64,65,66,68,70,72,73,74,75,81,85,86,87,88,90,95,98","89,1,74,31","3,5,6,8,14,15,16,18,19,21,25,29,30,31,34,39,42,44,45,47,48,50,55,58,60,63,64,69,71,75,77,79,83,88,90,92,97,98,99,100","3,4,5,7,8,11,13,14,15,16,19,22,23,24,25,26,31,33,34,36,39,43,45,46,47,50,51,52,53,57,60,61,62,63,67,69,73,74,76,77,79,80,82,83,85,86,87,88,90,92,95,97,99","2,3,6,8,9,11,14,16,17,20,21,23,24,26,27,29,30,31,32,34,36,37,38,39,41,42,47,48,50,58,59,62,64,65,66,68,72,75,76,78,79,81,82,83,85,86,91,92,93,94,95,97,99","3,4,5,7,11,12,13,18,19,20,24,25,27,28,31,33,34,35,36,38,39,40,41,42,44,45,46,48,50,53,54,55,58,60,61,64,65,67,68,70,72,73,74,78,85,86,88,90,91,93,95,97,98","4,10,18,20,22,24,25,29,46,49,52,54,60,61,63,67,70,73,74,76,77,79,81,84,85,88,93","3,5,6,7,12,13,14,17,20,21,23,24,27,28,29,30,32,33,34,38,40,41,43,44,45,48,50,53,55,56,58,60,61,62,64,65,66,67,71,72,73,74,75,77,79,80,82,84,85,87,89,90,91,93,95,96,97,100","2,9,10,14,15,18,21,22,25,31,41,49,54,68,70,83,85,86,88,89,94,95,96","2,9,10,27,32,40,41,43,45,52,57,58,68,70,74,77,80,81,83,84,85,89,99",,"2,4,10,14,21,28,31,32,41,42,43,54,56,61,68,69,70,73,76,83,89,93,94,99",,"2,4,7,8,10,14,21,26,27,40,41,49,52,57,60,66,73,81,88,93,97,99","3,6,7,14,15,17,23,24,26,27,32,39,41,55,60,63,69,70,74,80,85,89,90,93",1,"2,90,10,74,76,45,79,80,49,55,25,58,60,63","4,5,6,7,13,14,16,17,23,28,29,31,32,33,36,37,40,42,45,48,50,52,53,54,55,58,59,61,63,65,66,69,70,71,72,75,77,78,80,82,83,85,86,89,93,95,99","32,89,2,99,8,73,10,14,20,55,56,57,58,88,60,93,30,31",,,"2,7,8,10,21,22,24,27,32,40,54,56,60,66,76,79,80,83,85,89,97","33,2,66,4,9,42,74,14,49,61,52,21,83,84,88,25,93,29",,,"3,4,6,8,14,15,20,22,23,24,26,27,54,56,63,67,70,80,84,85,86,89,90,95","2,14,15,22,23,27,32,33,40,41,43,46,52,56,63,66,70,73,77,80,83,89,93,95","2,8,20,22,25,26,28,41,42,49,57,68,73,74,76,80,83,88,93","2,68,69,6,8,10,14,80,83,93,85,55,89,29,63",,"1,74,26,93,31","5,6,7,8,9,10,11,12,15,17,19,20,21,22,29,32,33,34,35,40,41,42,43,44,45,47,48,50,51,57,60,61,62,63,64,67,68,73,74,76,77,79,80,81,82,84,85,90,94,97,100","3,4,5,6,9,12,14,15,16,17,18,20,21,22,23,26,28,29,30,31,33,34,35,36,37,38,39,41,43,50,51,52,60,61,62,63,65,66,69,70,75,76,78,81,82,85,86,87,89,90,91,93,96,98,100","96,2,8,43,45,60,15,20,86,88,58,28,62,95","2,3,4,6,7,8,9,10,11,12,13,15,19,20,22,23,26,27,29,31,32,33,34,36,38,39,40,42,43,46,47,52,55,57,59,62,63,65,66,67,69,71,72,74,75,76,77,79,80,82,85,87,88,89,92,96,97,98,99,100","10,15,20,25,26,27,31,32,34,41,52,55,56,63,64,66,68,73,88,89,93,95","1,4,10,11,22,30,32,40,41,46,52,61,63,66,67,70,73,76,77,80,84,85,89",,,"32,1,66,89,70,40,41,10,77,14,83,52,85,56,57,95","2,10,15,17,22,24,25,26,27,31,40,45,54,55,63,66,67,68,73,76,84,88,89,90","2,4,7,14,17,20,22,26,27,29,31,32,54,58,60,68,70,73,76,78,80,89,95,96,97,100","3,4,6,7,8,11,12,14,16,18,20,25,28,29,30,35,36,37,39,41,44,45,46,47,48,49,50,51,53,54,55,56,57,58,59,60,64,65,67,68,69,70,71,73,75,76,81,83,84,85,86,87,88,89,90,91,94,96,97,99","2,6,14,18,21,23,24,29,31,39,42,43,52,54,58,66,69,74,77,80,81,84,90,95","64,2,3,100,70,42,17,49,20,54,55,88,58,95","2,4,8,14,21,22,27,29,31,45,49,54,56,60,64,67,70,73,79,83,84,89,96,99","89,67,99,15,79,83,84,85,54,23,24,25,86,93,61,94,31","2,7,10,14,20,23,29,30,40,42,54,58,60,61,67,74,83,85,86,95","2,8,10,14,15,23,27,41,45,49,54,55,56,57,58,63,67,76,85,90,95,96,99","2,8,9,20,21,30,40,45,52,62,63,66,67,81,84,85,86,93,94,95","5,7,8,14,15,18,20,22,25,29,30,45,54,60,64,66,68,70,73,81,84,85,86,89,92,99,100",,"33,2,58,68,7,40,41,42,45,79,81,54,23,89,26,93,30,31",,,,"64,1,2,67,8,40,76,14,83,84,93,54,86,24,56,27,61,31","4,8,10,14,17,18,21,24,31,40,41,45,49,52,61,64,66,68,80,84,85,88,95,99",,"4,5,6,7,8,10,12,13,15,19,20,21,24,25,28,29,31,33,34,40,41,42,43,46,47,49,52,53,56,57,58,59,63,64,65,67,68,69,70,71,73,74,76,77,80,81,86,87,88,89,90,91,97,98,100","4,5,6,7,8,9,10,13,14,16,17,22,27,30,31,33,34,35,36,38,39,40,41,42,45,46,47,48,53,54,55,56,57,60,61,63,66,67,68,69,70,72,73,74,75,77,78,81,86,92,96,97,98,100","33,2,67,68,99,41,10,42,74,14,84,86,23,56,89,58,95,63","6,7,8,9,10,11,17,20,23,25,27,46,52,54,61,63,67,70,73,78,84,89","2,3,4,6,7,8,14,22,25,26,31,41,42,43,68,70,73,80,81,84,85,89,94,95,96,99","2,4,11,14,22,26,41,42,45,49,54,56,58,60,61,67,70,74,80,81,83,84,92","97,70,7,9,74,11,43,45,78,15,84,21,22,55,85,27,60","1,42",,"32,2,66,99,6,41,10,73,76,14,15,81,52,23,57,26,27,93","3,4,5,11,12,16,17,20,21,23,27,28,29,31,32,34,37,38,39,40,42,44,47,51,52,56,57,64,70,72,73,75,79,80,82,84,86,87,89,90,92,96,97,100","2,11,14,18,21,26,31,32,42,43,52,57,63,67,70,74,80,81,93,95,96,99","11,14,20,22,39,40,42,58,61,62,64,67,73,79,85,86,88,89,96,97,99,100","2,4,11,14,15,17,22,26,27,30,41,42,49,52,57,58,62,66,70,73,74,89,93,95,99,100","2,4,7,9,10,11,18,23,25,30,32,33,42,49,63,66,73,74,76,79,80,83,84,96,99,100",,"2,5,8,15,17,18,21,23,24,25,28,29,30,31,35,36,39,42,44,47,48,49,51,52,53,54,55,58,59,60,61,67,70,71,72,74,75,79,81,82,84,86,88,90,91,95,96,97,98,100","89,96,67,99,8,40,41,76,15,80,81,84,86,55,56,25,30,31"
t4,,"66,99,69,42,76,14,78,80,17,18,52,84,88,90",,"5,6,8,11,13,17,18,20,21,23,25,28,29,30,33,34,35,37,43,45,46,47,48,49,50,51,54,62,65,66,71,75,78,79,81,82,84,85,90,91,93,94,97",,"2,90,78,54,86,25,58,62","67,70,8,10,80,86,29","40,60,30,63","97,18,77,31","42,45,46,79,17,18,84,88,90,62",,,,"33,2,100,5,90,9,42,74,45,18,52,54,55,58,30,95","3,6,11,46,80,17,86,30",,"5,15,19,20,22,23,26,28,31,35,36,39,44,45,47,49,51,52,53,55,56,59,61,62,63,66,67,69,71,72,77,78,81,84,85,86,91,93,95,96,97",,"64,39,11,78,15,88,61,63","64,2,11,76,80,49,55,61,62,31","10,14,17,26,27,39,41,43,49,56,57,63,69,73,74,76,86,88,93,95,99","2,46,17,28,29",,"89,96,97,67,99,7,11,78,80,49,18,83,22,23,54,57,28,94","4,5,6,7,10,12,14,15,17,22,23,26,27,29,30,32,33,38,39,40,42,43,48,50,51,52,56,57,60,64,65,69,72,73,76,77,78,79,84,86,94,96,97,98","17,66,43,23","32,96,2,66,41,10,49,81,84,21,54,93,89,58,29","4,5,10,18,22,25,45,46,52,56,57,60,63,70,73,74,80,88,89,100","2,8,10,14,22,23,26,30,32,43,49,52,56,57,62,63,76,79,80,81,83,84,96,99,100","97,2,6,40,15,80,86,90,62","2,8,42,15,49,81,52,54,88,25,94","6,40,11,80,55","64,66,67,46,78,55,54,22,56,60,93",,"8,11,86,15",,"64,78,23,24,58","2,42,77,81,29","5,7,10,11,12,13,14,15,17,19,20,24,30,31,35,37,38,40,41,43,46,47,48,49,52,54,56,57,59,61,63,64,65,66,67,68,69,73,77,78,79,81,83,85,86,88,90,91,92,94,96,97,98,99,100","97,86","96,8,74,15,49,81,84,24,94,90,88,30","64,76,81,25,61",,,"81,41,74,86","30,55",,,77,"8,97,30","66,6,46,17,54,30","28,46",,"4,6,8,9,10,12,16,19,20,22,23,29,33,37,38,40,41,45,51,52,56,57,58,59,62,63,64,65,66,68,70,76,78,80,82,83,84,85,87,89,92,99","96,3,4,69,99,39,14,46,78,18,83,86,23,24,26,27,93,30","97,7,8,40,42,73,74,45,77,79,49,84,54,55,25,92,94",29,"68,5,70,90,41,73,45,14,60,18,83,84,86,24,56,28,61,94","2,70,74,76,46,80,18,85,22,24,28","3,7,8,17,18,19,23,24,28,29,31,34,35,36,38,42,47,49,50,53,56,59,65,69,71,72,74,75,78,81,86,90,91,94,96,97,98",,,"2,5,8,9,11,16,17,18,19,20,21,24,25,28,29,30,31,34,36,37,42,44,45,46,47,49,50,51,54,55,61,62,64,69,74,75,76,78,79,81,82,84,86,88,90,91,92,93,94,98,100","56,80,6,7","69,40,42,77,46,55","33,2,100,42,74,78,15,17,63,93,21,23,24,61,31","25,45,62","40,81","88,17,58,90","2,66,42,17,55,62,95","18,94",64,"88,55,39,23",23,,"52,46,84",,,,"3,7,9,12,15,16,17,21,23,25,28,30,33,36,39,42,48,49,53,55,58,59,60,62,65,71,74,75,81,85,90,91,97,98,100","100,76,46,15,86,23,30",,"96,2,3,39,45,18,55,60,94,95","89,2,99,90,43,76,79,80,49,18,21,24,25,58,88,28,93,95","11,93,46,31","2,39,81,49,90,95,31","66,11,39","40,17,52,24,89",28,"6,8,14,15,17,21,24,26,29,30,34,35,37,38,39,40,43,45,48,51,52,55,56,58,60,61,62,63,67,72,74,78,79,80,81,83,87,88,89,92,95,97",,"4,83,21,60,61,30","7,8,9,10,14,15,18,22,26,30,41,43,45,55,60,63,67,68,74,76,85,88","8,40,61,85,55,60,29","81,69","32,67,77,18,85,55","58,85,21,70",,"69,6,7,45,20,94,93,62","49,2,54"
t5,,"94,29,86",,"2,3,39,42,15,55,88,58",,7,"76,39",,,29,,,,"96,17,29",,,"89,2,90,8,42,79,21,54,24,25,58,29",,"97,23",,"2,67,77,22,55,25,58",,,2,"66,99,68,100,70,8,41,18,83,21,85,90,61,63",,"42,78,55","67,69,40,84,61","89,66,77,69",,39,,,,"66,39",,84,"94,18,20,54","32,33,4,58,70,42,76,84,21,22,55,89,26,27,60,93,62,95",,"25,2,21,39",95,,,"25,78",17,,,,39,,,,"32,67,88,73,42,14,15,46,17,86,24,27,60,30","56,66,70","24,2,95",,17,,"2,100,43,20,21,88,25,62,95",,,"96,33,3,39,43,15,23,58",96,18,62,,,20,20,33,,6,,,"32,85",,,,"96,45,20,88,92,29,94",,,"93,54","3,15",,55,,,,"2,3,4,5,9,10,22,23,25,27,28,32,41,49,57,66,68,70,84,85,93,99",,86,"66,99,6,78,83","23,28,15",,84,15,,33,74
t6,,,,,,96,,,,,,,,,,,"88,18,7",,,,89,,,,"3,11,45,20,88",,94,,,,,,,,,,85,33,"2,3,74,45,80,25,28",,3,,,,58,,,,,,,,,"18,100,21",,,,,,"6,54,55,58,93",,,,,,,,,,18,,,,,,,,,,6,,,,,,,,,,"73,11,76,46,54,31",,,,,,,,,,
t7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,
t8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
