Clock Tick,Sursa_1,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99,Sursa_100
t1,"9,11,12,22,32,38,39,41,43,44,46,47,48,49,51,55,58,60,61,64,73,75,76,78,79,80,87,89,92,94,98,100",,,,,,,,1,,1,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,1,,1,,,,,,1,1,1,,1,,1,1,1,,,,,,1,1,,1,1,,,,1,,,,,1,,1,1,,,,,,1,,,,,1,,,,,1,,,,1,1,
t2,,,,,,,,,"3,8,19,21,23,26,31,32,34,35,36,41,46,47,66,69,71,72,74,77,80,82,90,92,93,96,98",,"4,6,9,10,11,14,15,16,25,26,40,45,51,52,60,61,69,70,73,74,79,81,84,89,91,92,94,96,100",,,,,,"3,4,6,11,15,16,22,29,32,37,39,40,42,44,46,48,54,55,56,58,59,69,72,81,82,89,95,96,100",,,,,,,,"8,12,17,18,28,30,33,37,38,42,50,57,60,63,64,65,72,74,75,78,90,93,94,95,96,99",,,"4,6,8,15,21,25,31,35,39,40,43,46,50,51,53,54,56,57,58,63,65,70,73,79,98,100",,,,,,,,,,,"3,6,8,9,12,13,14,19,20,22,29,31,32,37,42,44,45,46,48,50,61,66,67,69,74,78,79,80,84,85,93,94,95,96,99",,"10,14,16,17,18,19,20,29,35,38,41,44,45,50,51,56,57,58,66,69,75,76,80,82,83,92,95,96,99",,,,,,"6,14,24,31,35,38,40,45,50,52,54,57,58,66,67,69,70,81,87,98,100","3,9,12,13,17,19,20,23,24,27,28,37,41,45,61,67,71,73,78,80,82,86,88,96,99","7,12,13,14,17,22,23,27,28,34,35,36,37,39,40,41,44,47,48,49,51,52,53,62,68,69,71,73,77,83,89",,"3,8,18,24,26,29,30,33,36,37,45,46,48,54,56,58,65,67,68,78,82,83,89,94,97",,"5,14,16,17,19,21,22,28,29,42,43,44,46,48,59,63,64,67,68,69,70,77,78,84,85,89,91,93,96,98,100","8,16,19,20,23,25,26,28,29,30,39,44,46,54,56,73,76,77,80,81,82,83,84,85,87,88,89,90,91,98,99","5,10,12,14,17,18,26,35,37,40,41,44,47,50,51,53,60,70,76,77,79,82,85,89,95,96,97",,,,,,"19,25,26,32,33,35,36,37,38,41,44,49,53,54,58,63,64,67,72,73,75,76,77,78,80,81,85,86,87,95,97,100","5,7,8,11,13,16,18,19,22,24,27,32,37,39,45,48,50,51,52,57,64,70,71,78,80,81,82,83,89,90,91,92",,"10,17,23,24,27,30,31,33,34,37,38,44,51,52,54,58,61,62,63,66,67,70,72,74,80,83,85,86,91,95,99","11,21,24,31,32,34,35,36,38,44,45,47,52,53,62,65,74,84,85,87,88,89,91,94,97",,,,"4,6,7,14,16,18,19,20,21,23,30,31,34,37,40,42,45,54,59,60,61,69,72,80,84,85,91,93,97,98,99",,,,,"16,18,26,31,34,36,38,44,45,50,53,58,60,64,65,67,68,69,73,77,78,89,91,92,94,95,99",,"6,9,13,14,19,23,25,30,38,41,44,46,54,57,65,66,67,70,71,72,75,78,82,86,88,90,92,95,98,100","8,10,14,15,16,20,21,24,25,27,31,32,34,43,46,48,49,55,70,72,75,76,81,85,87,90,92,93,94,96,100",,,,,,"3,8,14,15,18,21,22,24,28,30,34,39,41,42,50,55,57,58,61,70,73,79,81,82,85,90,93,96,98,99",,,,,"5,8,10,11,15,20,22,25,30,32,34,36,37,42,49,60,62,63,64,66,68,71,72,76,77,78,79,82,86,90,92",,,,,"4,5,6,11,19,32,36,39,42,43,55,56,59,60,61,63,65,67,71,72,73,78,86,96,99",,,,"5,8,12,13,14,17,23,31,33,39,41,44,50,55,60,61,62,74,75,78,81,83,85,87,89,94,96,100","4,16,24,25,30,31,32,33,34,50,52,54,61,64,65,66,67,70,72,75,76,79,83,85,90,97,98",
t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
