Clock Tick,Sursa_1,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99,Sursa_100
t1,"8,10,11,12,13,16,18,19,20,21,24,25,27,28,31,32,33,35,46,50,67,69,72,80,86,87,97",,,1,,,,,,,,,1,,,,,,,,,1,,1,,1,1,,1,1,,,,,1,1,,1,,1,1,,,,1,,,1,,1,,,,,1,,,,1,1,1,,,,,1,,1,,,,,,,,,,,1,1,,,,1,,,,,,,,,1,,,,1,1,
t2,,,,"4,10,11,18,19,23,25,27,28,31,36,39,42,47,49,52,57,59,61,66,68,74,84,85,88,92,98",,,,,,,,,"5,6,7,8,12,17,24,26,28,29,41,44,47,52,57,66,67,68,73,80,86,90,93,95,98",,,,,,,,,"3,4,5,11,14,20,22,24,27,31,33,37,38,46,52,55,57,62,66,68,73,76,78,79,81,85,98,100",,"3,6,12,14,22,32,34,35,38,40,42,45,48,56,57,58,65,66,67,72,73,75,76,79,81,84,86,88,89,91,92,94,96,98",,"3,6,8,9,14,16,17,21,23,26,32,36,39,43,46,55,56,58,63,70,73,74,78,79,80,81,86,90,91,92,93,94,99","8,10,13,14,18,19,20,22,23,25,26,32,33,35,36,39,42,44,47,49,50,53,54,56,61,62,65,67,70,72,74,80,85,90,91,93,98,100",,"5,7,8,12,14,15,18,20,31,32,33,34,38,43,46,48,49,52,53,55,56,60,61,65,70,71,72,73,76,78,79,82,83,91,93,97,98,100","3,7,8,10,11,15,16,29,32,33,41,42,53,59,61,62,69,70,73,74,76,77,79,81,89,93,94,96,100",,,,,"5,7,10,17,22,25,27,28,30,34,35,49,52,53,54,62,63,64,65,79,82,88,90,96,98","6,9,12,14,15,18,23,24,25,27,36,40,41,47,51,53,57,59,62,68,69,71,74,78,79,90",,"5,6,7,9,11,12,18,20,22,25,26,27,32,33,45,51,53,54,56,58,59,66,74,76,81,82,83,87,93,95,96,100",,"4,7,10,11,12,15,31,32,35,39,44,47,52,53,57,62,63,69,75,76,77,78,83,85,88,91,93,94,97,100","64,33,66,4,37,68,70,13,46,17,51,84,55,86,23,88,25",,,,"6,12,18,19,23,25,29,31,34,36,41,47,59,61,62,67,68,70,73,85,90,93,94,99,100",,,"7,11,13,14,17,23,26,28,31,41,47,48,50,55,60,61,67,69,71,77,79,80,86,89,90,96",,"6,8,12,15,19,20,24,25,28,38,46,49,52,57,59,60,61,64,65,66,67,70,71,72,73,79,84,85,87,95",,,,,"4,5,10,16,20,22,26,28,30,31,34,39,42,43,44,50,58,61,66,68,76,77,78,82,83,84,85,88,96,97,100",,,,"4,5,12,15,26,36,39,41,43,46,47,54,55,65,66,73,76,77,86,92,94,96,97","7,10,11,14,16,19,21,23,25,28,35,40,50,51,56,58,59,65,70,79,87,89,92,94,95","4,5,6,8,12,14,18,29,32,33,36,40,41,48,51,57,63,64,68,73,78,79,82,84,88,91,92,93,94,97,99",,,,,"7,8,13,17,21,22,26,29,34,38,45,49,50,54,55,57,60,61,65,73,75,76,81,84,86,87,92",,"11,13,16,18,20,23,25,30,33,38,40,47,54,57,59,64,68,74,77,78,80,83,84,88,91,93,97,100",,,,,,,,,,,"9,10,18,19,22,25,27,33,34,38,41,42,43,46,47,51,53,56,58,60,62,63,70,71,72,73,76,81,82,87,89,92,96","6,18,19,20,23,25,39,43,46,51,54,58,59,61,67,68,69,70,72,76,85,86,87,88,89,91,93,94,97",,,,"3,4,5,9,14,15,24,25,31,33,34,35,38,39,47,48,50,52,53,54,60,62,74,78,79,87,92,93,94,95,97,100",,,,,,,,,"3,4,5,7,12,24,25,26,28,33,37,39,40,41,59,60,62,65,66,68,69,76,77,83,84,86,89,98",,,,"10,13,14,16,20,22,23,24,28,31,39,41,43,46,50,51,55,57,63,68,77,79,81,85,87,89,90,91,92,97,99","3,7,10,11,13,17,23,27,30,31,33,41,45,46,47,49,51,52,57,59,61,62,64,65,66,68,70,75,79,87,89,91,95,96,100",
t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
