Clock Tick,Sursa_1,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99,Sursa_100
t1,"4,5,7,9,12,13,14,15,18,23,25,29,33,41,45,48,51,52,55,58,59,65,72,74,77,78,82,87,93,99",,,1,,1,,1,,,1,,,,,,,,,,,,,1,,1,,1,1,1,1,,,1,,,1,1,,1,,1,1,1,,,,1,,,1,,,,1,1,,1,,,1,1,1,,,1,,,1,,,,1,,,,,,,,,,,1,,1,1,1,,,1,1,,,,,,,
t2,,,,"3,8,11,16,18,23,28,31,32,34,43,45,50,51,54,61,63,66,67,75,86,89,100",,"16,20,21,28,36,39,44,47,50,52,54,59,67,74,75,79,80,83,90,93,94,99",,"5,6,12,13,21,22,23,25,27,28,31,37,39,42,50,54,57,58,60,62,66,70,71,81,82,87,95,96,97",,,"3,4,5,7,8,10,11,15,19,23,29,33,45,56,57,62,64,72,75,78,79,80,81,84,86,91,96,99",,,,,,,,,,,,,"3,8,9,10,13,15,19,21,24,26,30,31,32,34,39,43,44,45,47,48,50,58,62,65,66,67,68,69,73,75,78,81,84,87,89,95,96,100",,"9,12,15,17,19,21,25,26,29,35,36,43,44,48,51,52,55,58,59,62,64,68,74,75,77,78,84,85,87,89,92,98,99",,"3,5,6,8,9,13,15,17,23,26,27,28,34,37,38,43,58,62,68,69,71,72,74,77,80,84,86,88,90,91,94,96,97","3,6,7,8,19,22,33,34,36,38,48,52,57,61,70,76,77,81,85,94,95,100","6,9,10,14,20,21,23,28,30,32,36,39,43,50,51,52,54,55,58,63,64,66,67,68,69,72,85,86,92,96,98","6,9,10,15,20,21,23,25,27,28,29,31,39,47,48,49,50,53,64,65,69,74,78,79,80,87,88,92,95,98,99",,,"3,8,10,12,13,19,20,21,28,34,36,49,54,55,56,59,63,64,68,70,72,78,79,81,87,88,93,96",,,"4,6,7,8,11,13,16,17,21,22,25,26,28,31,37,40,41,42,44,49,50,51,53,57,58,61,62,64,65,69,81,82,85,86,88,89,90,98,100","9,10,11,12,14,16,23,36,37,38,47,55,56,58,59,64,65,67,72,82,83,85,86,87,90,91,92",,"3,7,12,13,16,19,23,27,28,37,38,47,51,53,54,58,66,67,69,71,72,75,76,86,88,89,90,91,96,100",,"4,6,13,14,23,24,25,26,28,29,37,41,42,50,51,52,61,64,67,75,77,79,83,84,85,95","3,5,9,12,15,18,22,24,27,28,29,31,52,54,67,71,83,86,88,94,95,96,97","3,13,14,17,23,25,29,34,36,37,38,39,41,42,44,46,47,49,51,53,57,58,59,60,63,67,71,74,75,83,84,86,96,97,100",,,,"13,14,16,19,21,22,27,28,33,34,35,36,38,40,45,46,48,53,54,58,62,67,69,70,72,75,76,85,86,88,92,93,94,95,99,100",,,"4,6,8,10,13,19,21,25,26,32,34,35,47,48,50,51,53,58,60,61,63,70,72,76,77,78,83,87,90,94",,,,"11,15,16,17,19,22,27,28,32,43,45,47,50,51,59,64,66,67,68,69,71,72,74,76,85,90,96,98","5,7,8,9,12,15,25,26,28,29,33,35,36,37,42,44,45,48,50,52,58,62,63,64,66,68,71,73,80,95,98,99",,"6,10,20,21,25,26,27,29,30,31,34,36,45,48,49,51,54,55,61,81,82,85,90,91,92,94,98,99",,,"4,5,8,13,29,34,35,38,42,45,46,48,50,51,52,53,57,59,60,61,65,68,77,81,84,87,89,90,94,100","6,8,13,17,23,31,32,34,40,43,44,47,50,52,53,60,68,69,70,72,77,78,79,84,96,98,99","3,6,7,9,11,14,17,18,22,24,25,31,33,35,36,37,48,53,55,56,59,63,65,69,71,73,76,77,78,79,86,91,92,96,98",,,"3,16,20,23,25,27,31,35,40,43,44,54,55,56,68,69,75,78,81,84,90,92,94,95,96,99",,,"5,10,13,15,18,20,22,23,26,27,33,34,35,37,38,50,53,55,56,59,63,65,71,72,73,75,77,80,82,85,89,91,93,99",,,,"3,8,10,16,17,18,19,24,30,35,36,38,44,50,53,54,62,67,70,72,75,91,95",,,,,,,,,,,"6,9,12,13,14,16,24,25,27,31,32,36,45,47,50,52,53,61,62,69,70,72,73,79,81,83,86,87,88,92,98,99,100",,"4,6,10,11,15,17,23,26,37,39,40,43,45,46,51,53,55,56,58,62,63,71,72,75,76,81,84,88,92,94,95,96,100","3,9,10,14,15,16,19,20,22,23,25,27,28,32,35,40,41,43,47,48,55,60,61,62,64,65,66,67,69,70,73,74,75,77,78,80,86,87,91,95,98,99","5,7,8,9,10,12,16,18,23,24,27,31,33,37,38,39,40,42,46,47,55,65,67,70,73,78,79,83,93,99",,,"3,9,10,13,14,16,22,25,26,29,30,32,34,35,37,38,43,48,49,54,58,61,62,65,73,78,80,96,98,99,100","4,8,10,12,14,18,20,21,25,30,34,35,37,44,47,51,54,57,59,69,70,71,73,74,77,79,81,83,84,87,90,96,99",,,,,,,
t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
