Clock Tick,Sursa_1,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99,Sursa_100
t1,"6,8,18,21,30,31,33,35,37,40,48,50,54,61,73,77,89,90,91,92,93,99",,,1,1,1,,,1,1,,,,,,,1,1,,,,1,1,,1,1,1,,,,,1,1,,,,1,,,,,,,1,,,1,,1,1,1,,1,,,1,1,1,,1,,1,,,,,,1,1,,,,,,,1,,1,,1,,,,,1,,1,1,1,1,,,,,,,,,
t2,,,,"6,7,8,27,31,33,35,36,38,48,49,53,54,56,58,62,64,66,70,77,78,81,83,86,89,91,93,98,99","7,9,10,12,15,21,23,30,36,38,41,46,49,56,58,65,66,67,70,72,73,74,79,91,92,94,99","3,4,5,10,14,15,24,25,27,32,33,34,35,36,39,42,47,49,50,55,56,59,68,71,74,84,85,86,88,90,92,94,95,96,97,99",,,"4,5,6,7,8,11,13,14,15,19,22,27,30,32,35,37,38,44,51,52,58,59,64,73,78,80,83,86,91,96,97,98,99","5,12,16,23,25,27,28,30,34,37,40,41,43,44,45,52,59,60,61,62,66,70,73,76,78,80,81,83,88,89,91,95,96,99,100",,,,,,,"6,13,15,16,20,35,37,43,45,46,47,48,53,55,60,67,68,69,70,71,79,80,90,92,96,98,99","5,8,9,12,15,20,24,31,35,36,42,44,45,46,48,51,58,63,64,69,75,85,88,89,90,93,94,96,97,98",,,,"3,5,9,10,20,21,25,29,31,35,36,39,41,43,45,47,48,49,50,52,54,55,66,73,75,80,90,92","4,13,15,18,20,21,29,35,37,40,42,43,50,51,52,56,58,63,64,67,70,71,72,76,77,84,87,88,92",,"9,10,11,13,14,15,20,23,24,25,30,31,36,37,50,51,52,54,62,63,65,66,72,76,78,79,81,83,88,89,93,94,98","4,7,8,9,11,12,18,29,30,31,41,43,44,50,51,53,57,60,65,67,68,76,80,85,90,92,98","6,13,14,19,20,21,22,30,46,48,49,52,55,56,57,60,61,62,64,67,78,83,85,86,88,89,92,93,99,100",,,,,"3,4,9,11,16,17,19,29,30,36,39,41,42,43,44,45,46,50,52,53,57,61,62,66,69,76,87,93,94,95,98,99","3,5,6,13,14,17,18,23,27,32,36,41,44,45,46,48,53,57,59,63,65,66,81,90,92,94,96,97",,,,"8,10,12,13,14,17,18,32,35,37,39,45,46,52,55,58,60,65,66,67,69,72,76,77,78,82,86,91,95",,,,,,,"4,9,15,16,18,22,31,33,34,37,43,48,50,62,63,64,71,72,75,77,80,81,83,85,87,92,94,98",,,"15,20,21,26,44,45,46,47,50,53,61,63,64,65,77,92,94,96,97,98,99,100",,"3,4,8,9,10,13,17,18,20,22,23,25,29,36,38,40,41,43,45,48,49,51,54,63,64,66,69,72,74,76,77,80,85,87,96,97,100","3,4,5,9,11,12,16,17,20,27,37,38,42,45,47,49,50,52,54,55,64,65,67,69,73,77,85,87,88,94,96,99","6,7,10,16,18,24,31,34,35,42,43,46,48,50,65,73,78,80,83,90,92,96,98,100",,"3,8,16,20,22,23,27,33,35,36,39,41,42,45,47,52,57,58,59,61,68,70,73,75,76,78,84,87,92,93,95,97,99,100",,,"3,4,6,11,12,13,22,23,27,28,31,33,35,37,41,43,44,56,59,60,64,65,71,72,74,76,77,78,84,85,88,89,93,98,99","5,9,10,11,14,21,22,24,26,28,31,33,36,38,40,44,50,52,55,62,68,73,83,85,94,95,96,100","7,13,16,17,21,24,35,36,38,39,42,43,48,52,55,58,65,66,68,78,82,89,94,95,97,98,100",,"3,4,14,16,20,22,28,32,33,37,41,42,45,50,53,54,55,58,60,63,64,68,71,73,78,83,84,85,89,90,95,96,99",,"8,20,25,32,36,37,39,40,42,43,44,46,48,57,60,61,66,71,73,78,81,84,86,94,97,99",,,,,,"13,17,18,25,29,32,36,42,44,49,50,57,59,60,63,67,68,78,80,82,86,92","3,5,17,22,23,24,26,27,30,31,32,34,39,41,42,43,44,52,56,60,62,64,69,74,84,85,90,95,96,98",,,,,,,"5,7,10,13,18,22,25,27,29,30,31,34,35,40,41,42,56,57,62,63,69,70,72,74,76,81,84,85,91,94,95,97,98,100",,"7,10,33,34,35,40,43,46,50,52,53,55,62,66,68,70,76,82,85,91,94",,"3,5,7,9,12,16,18,20,23,25,27,29,31,32,38,39,40,44,47,52,61,62,65,67,68,70,72,73,74,75,76,85,86,89,93",,,,,"3,8,12,15,16,26,30,31,34,40,44,50,55,56,59,61,68,69,75,77,80,82,84,85,88,93,96,98",,"5,12,13,26,30,31,36,38,42,43,44,47,57,64,70,75,78,82,84,86,91,97","4,5,6,9,11,12,13,20,29,33,42,44,51,53,56,60,64,67,75,76,78,82,84,86,87,90,93,96,98","3,6,7,12,15,19,22,26,30,31,37,43,46,47,48,49,56,57,60,61,63,67,68,69,73,78,79,82,85,89,93","3,4,6,7,10,11,16,18,27,33,34,38,42,43,47,49,56,65,66,69,71,73,77,80,81,82,86,88,89,96,99",,,,,,,,,
t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
