Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99,Sursa_100
t1,"34,3,5,70,40,10,50,20,25,59,95,57",,,27,,,,,,"26,68",,,,,,,,1,,,,"67,68",,1,81,"41,27,4","1,57",,,83,,84,1,,,,,,,,,29,,,,68,,,"58,54,31",,,24,,,"1,28","57,22","73,10,83",,,"57,99",,"24,1",,1,,,,"67,41,26,11",,10,,,,,,,,,,,,,14,"24,52",,,,,,,,,,,,1,,,,
t2,"54,86,22",,,"10,26,14",,,,,,"73,41,74",,,,,,,,"3,11,45,78,82,19,95",,,,"32,80,70",,"64,89,34,96,37,40,9,41,14,78,81,18,87,55,25,91",93,"57,63,14,30","99,71,40,73,10,76,78,79,84",,,,,52,"3,67,5,6,39,69,13,45,18,89,61",,,,,,,,,,,,,"73,26,67",,,"89,25,57",,,,,,"12,17,50,20,24,27","40,1","60,86",,,,,"100,7,11,12,75,80,17,81,19,53,22,90,28",,"98,9,12,46,58,27,60",,,,"80,10,30",,22,,,,,,,,,,,,,,1,,,,,,,,,,,,"65,3,48,81,83,52,21,22,26",,,,
t3,"67,93,55",,,"99,68,76,85,22",,,,,,22,,,,,,,,41,,,,52,,"99,70,42,49,83,20,22,58",,"10,99","26,5,70",,,,,,"57,74,100,22",,,,,,,,,,,,,"40,1,70",,,"64,41,61",,,,,,,"69,7,12,15,79,80,26,28",,,,,,"10,55,56,89,93,30",,"73,68",,,,"1,83,70,57",,32,,,,,,,,,,,,,,"77,14,47,80,49,54,22,56,59",,,,,,,,,,,,"24,89,32,70",,,,
t4,2,,,"41,46,57",,,,,,56,,,,,,,,,,,,,,"2,27",,"80,1,22",32,,,,,,"64,10,26,63",,,,,,,,,,,,,"35,99,76,48,80,19,22,86,28,63",,,"27,68,22",,,,,,,"41,42,27,5",,,,,,,,10,,,,"97,66,99,78,20,28,94",,26,,,,,,,,,,,,,,"89,27",,,,,,,,,,,,"57,68,84",,,,
t5,,,,,,,,,,,,,,,,,,,,,,,,"26,54",,"70,6,78,79,18,62,31",85,,,,,,"99,27,95",,,,,,,,,,,,,"57,10",,,"56,10,63",,,,,,,"73,21,63",,,,,,,,,,,,"8,14,63",,,,,,,,,,,,,,,,41,,,,,,,,,,,,"67,4,41,80,56",,,,
t6,,,,,,,,,,,,,,,,,,,,,,,,"73,52",,49,,,,,,,"25,83,41",,,,,,,,,,,,,"56,41",,,"1,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,10,,,,
t7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,78,,,"65,98,100,7,73,42,12,13,81,82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60,76",,,,,,,,,,,,27,,,,
t8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96,18,29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,63,,,,
t9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
