Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99,Sursa_100
t1,"66,99,7,82,83,85,54,86,56,25,59,63",,,"1,27",,,,"32,66",92,70,,,,,,1,83,,,,,68,,,,"32,80","10,14",,,41,,"1,84,22",,,1,,,,,,,15,,,,,,,54,,,,1,89,2,,"99,27,31",,1,,,"24,1",97,,,14,57,67,,1,,,26,,,,,,,,,,30,1,84,10,,,26,"20,7",,9,,42,,90,,,27,24
t2,"32,2,14,17,57,27,60,93",,,"64,35,100,37,69,70,8,9,41,73,76,13,18,88,90",,,,"1,26,52",,26,,,,,,"3,4,7,40,72,12,14,79,20,85,26,91,94,63",30,,,,,"27,76",,,,68,"67,70",,,,,"96,67,40,41,76,13,46,78,18,20,85,92,93",,,"33,67,36,5,73,11,44,46,18,89,59",,,,,,,,,,,,,,89,,,,"69,8,75,18,54,23,94,92,62,63",,,,"1,26",,"100,38,6,70,73,43,77,46,47,88,61",,,"32,82,52,84,91,60",,,,"1,83","26,61",57,,"33,34,35,98,47,89,28",,,85,,,,,,,,,,,"89,68,100,8,40,42,76,14,79,57",,"57,68,22,70",,,"32,73,99,52",,,,,45,,,,,"56,4",
t3,"73,4",,,"6,30",,,,"33,99,6,72,41,11,44,83,84,85,22,28,93",,"80,1,4,85",,,,,,"33,66,52,22,60",41,,,,,"56,1",,,,"41,10",,,,,,"52,86",,,"68,41,74,79,57",,,,,,,,,,,,,,,,,,"88,66,99",,,,"37,6,70,71,9,73,22,94,30",,10,,,,,,,"32,10,42,46,16,17,23,26,60,94,31","10,4,85",73,,"49,26,22",,,,,,,,,,,,,,"66,5,41,10,22,27,60",,"99,4,76,83,56",,,"8,83",,,,,,,,,,57,
t4,,,,,,,,"60,95,68",,"64,68,37,71,9,42,50,83,27",,,,,,"32,57,27",,,,,,"64,97,98,37,70,8,40,45,15,84,89,61",,,,"57,27",,,,,,,,,"10,26,22",,,,,,,,,,,,,,,,,,,,,,"40,88,68",,"27,76,31",,,,,,,"4,68,8,40,45,22",70,,,"68,14",,,,,,,,,,,,,,"56,30",,60,,,,,,,,,,,,,22,
t5,,,,,,,,"25,63,14,57",,14,,,,,,64,,,,,,"66,39,23,57,26,29",,,,"1,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,41,46",,"56,57,67",,,,,,,"80,41,57,39",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t6,,,,,,,,"58,31",,,,,,,,,,,,,,"74,85,14",,,,"98,37,7,72,74,78,50,19,83,25,91,60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64,60,22",,,,,,,"89,27,30","96,40,91,44,77,46,14,53,54,59,92,30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t7,,,,,,,,81,,,,,,,,,,,,,,"2,52",,,,"49,95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,26,83",,,,,,,"81,67",93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t8,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,"93,95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
