Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99,Sursa_100
t1,,"16,97,60,29","59,84,71","12,14",,"58,5",59,"3,4,37,48,81",75,,"25,83,20",43,38,4,"78,13,6",42,,"80,84,22,15",,58,"73,28","9,71","64,1",4,73,"40,3,94","49,62,39","34,81,17,49,61","33,37","35,36,71,15","49,36","19,20",9,"74,14",98,"86,30","34,45,98,87","27,6,15",30,"66,100,22,26,28",,"74,52","64,26,68,14",1,,"80,85,63,15",50,71,"72,9",,"40,85",64,,"87,63","20,86","65,52","88,31","56,12",,"58,37,63","13,86",,"67,59,54","91,78",12,"91,45","75,21","90,43","66,36,87",,30,"36,22","32,6,72,48,92","34,36,16,48,50","16,42",25,"73,31",,"33,68,37,53,90,62","40,1,81,39","88,51,53","64,50,13","9,11,79,49,20,85,27","42,58","48,75,51","73,31",9,,,"1,36,38,84",,"88,39","52,63","99,83",,"24,41,72","27,68,94,92","99,13","37,71,15,51,59","33,14,57"
t2,,"94,93,54","73,45,55,88,58","100,73,44,15,53",,"69,85,55,60,63",26,"1,34,67,100,7,71,44,77,17,61,20,52,84,85,24,89,29,94","16,91,66,51",,"99,41,49,84,61","81,85,30",,"20,61","67,5,48,55,60","54,41,38,65",,"34,4,42,11,43,17,51,87",,,"49,53,47","8,54,38","44,45,55",14,86,"42,83,19,84,22,89,63","33,35,83,54,28,30","32,64,8,48,19,89,94","82,45","97,98,3,37,38,39,8,69,82,20,86,62","72,10,74,48,83,86,92","70,26,93,54","40,75,45,78","4,23","76,63,15",55,"65,4,9,11,13,14,46,24","69,39,21,24,90,63","57,35,38","64,32,3,82,84,88,27,63",,"64,17,50,56,59","97,67,100,71,73,45,49,86",37,,"64,36,72,42,13,79,23",51,"8,98,3,38","1,66,37,71,78",,"75,79,48,80,87",34,,"77,4,69","16,48,91","34,80,18,26,29","81,68,6,84",,,"89,1,99,46,16,84,54,57,28,93","64,33,65,18,59",,"6,76,17,19,29","10,15,18,88,57,94",7,"48,88,47","34,48,53,88,89,28","1,71,54,93,62","7,9,74,77,20,85,31",,10,"9,18,92","64,5,8,19,85,86,23,60","64,7,9,75,13,77,20,22,23,89,90,62","70,72,73,45,84,91,62","31,84,7","8,25,57",,"1,2,97,98,5,38,71,54","33,99,43,83,21,54,26,92,93","100,40,42,75,14,79,92","65,34,5,40,78,17,49,87","64,65,96,39,73,43,75,16,48,19,53,87,23,91,62,31","60,31","34,35,37,42,20,84,26,91","49,53,55",23,,,"37,6,69,72,48,18,54,55,92",,"65,40,42,81,51,57,91","67,5,48,81,23,89","35,37,69,8,12,15,81,59",,"2,42,75,79,31","83,69,39","35,7,83,59,60","96,98,100,69,45,14,21,54,85,90,30","72,55,39"
t3,,"35,40,73,43,13,84,85,63","1,41,81,85,23,25,92","66,69,42,19,24,27,30",,"89,1,33,66,41,75,79,48,52,84,54,23,57,93",65,"2,6,12,15,16,27,28,33,42,45,54,57,59,62,63,72,73,79,83,88,90,96,99","34,99,42,77,48,58",,"97,48,80,91,31","36,46,79,54,88,28",,"8,79,48,22,89,62","65,99,68,71,8,46,47,80,17,52,23,56,94","32,97,43,76,13,19,85,24,95,31",,"64,65,35,8,9,40,73,45,79,83,52,26,30",,,"96,100,71,39","15,50,84,95,63","5,6,70,41,48,61","34,91,53",55,"98,67,100,69,9,73,11,12,13,46,81,18,21,53","99,100,69,6,70,88,11,75,81,24,59,94","66,35,36,98,6,40,44,78,79,50,25,26,60,57","16,48,64,85","7,17,22,25,32,57,61,63,64,66,68,70,75,76,89,90,91,92,99,100","97,68,39,73,79,80,88","1,40,9,11,80,50,53,88,57","96,47,16,17,48,89,94","25,61,69,13","100,70,13,89,59",,"97,35,36,6,77,49,82,83,22,89","3,36,68,71,49,54,92","26,99,74,31","96,98,35,69,49,83,54,55,59",,"72,67,5","98,37,6,39,70,72,10,11,77,84,21,57,27,28","72,30,31",,"66,9,73,11,44,17,50,54,86,92,94",,"97,77,13,47,78,22,59","64,67,99,38,39,44,48,18,20,23,25,57",,"32,1,65,39,9,11,46","48,20,37",,"98,68,70,71,50,22,24,90","42,75,49,52,58","4,74,17,92,30","3,42,80,52,53,62",,,"3,69,72,73,10,43,48,17,19,61,86,55,25,29,95","1,98,43,45,46,78,49,25,60,31",,"33,2,5,40,42,74,44,15,52,26,30,31","65,35,68,37,69,8,72,11,46,80,83,22,89,90,30","96,25","81,65,98,19","37,71,40,46,47,19,52,84,86,94,61,30","39,47,16,23,87,55,89","96,33,3,4,68,70,46,15,86,57,93",,,"57,97,86,39","34,41,49,50,82,52,54,56,26,28","1,4,14,31,41,45,47,52,53,54,58,68,72,79,81,83,84,92,98","97,37,6,71,44,14,80,17,18,19,21,86,87,29,63","86,69,6,39","7,74,76,18,50,85,91",,"99,45,47,17,84,24,89,61,95","64,68,5,69,71,12,50,63,82,22,55,88,94,59,61,62,31","66,69,45,13,78,19,87,56,93,31","96,3,4,37,68,7,72,10,74,63,22,25,28,29,94,57","66,98,6,70,12,77,46,17,84,88,25,26,93,63","40,57,100,6","66,73,74,15,80,18,54,88,90,27,94","65,1,36,46,47","1,98,44",,,"100,5,43,75,79,80,83,24,89,60,29",,"64,96,100,72,74,14,15,48,17,49,50,54,63","1,68,6,70,71,41,12,78,79,17,21,54,91,60,31","32,66,98,4,36,6,9,74,43,13,88,58,28",,"65,34,3,35,5,6,38,40,67,100,88,89,27,94","3,100,70,11,12,81,52,54","3,39,9,10,49","1,7,8,9,13,19,26,34,40,46,52,53,57,58,63,79,82,87,91","1,71,7,80,86,92"
t4,,"89,34,36,69,6,39,9,79,48,18,82,83,23,57,59","65,35,36,7,10,44,48,18,50,22,91,95,63","96,2,99,37,71,40,41,75,45,16,49,25,57",,"2,3,10,13,18,19,31,34,37,43,44,45,47,64,65,71,77,81,87,98",34,"9,10,13,21,22,23,32,38,40,43,46,49,58,65,66,70,74,75,97,98","65,37,70,71,8,40,74,90,60",,"66,6,70,40,21,86,88,92,62","66,99,68,10,15,16,84,87,89,90,59,62",,"64,34,67,37,40,9,75,45,78,52,90","7,40,41,79,82,20,21,89,90,91","99,68,37,10,14,46,78,17,79,51,81,82,87,25,90,59,93,62",,"3,12,21,24,28,31,32,33,47,49,54,62,67,68,69,71,72,76,78,81,85,94,95,99",,,"33,98,38,72,45,62,30","98,39,40,42,78,19,89,26,59","97,71,8,42,77,60,21,54,85,28,62","89,18,28,63",33,"64,99,4,68,72,14,15,48,78,79,52,86,23,87,88,29,30","66,67,73,44,77,14,80,84,53,91,60,29","65,2,4,37,73,10,11,74,75,15,47,82,84,54,23,62,88,30",,"1,9,14,18,19,33,34,40,41,42,43,47,65,73,78,81,84,85,87,88","35,6,38,9,42,11,24,61","69,73,10,13,77,49,82,85,22,90,59,61,94,31","97,2,3,38,7,72,10,74,83,20,84,26,27,63","71,73,49,82,54,86,87","32,7,10,75,18,82,23,60",,"32,67,39,71,78,17,53,58,27,94,95","89,98,5,72,43,45,77,50,25,93,95","65,3,69,42,43,12,48,51,25,94","2,37,72,9,43,44,76,20,86,23,89,91",,"97,2,36,73,13,49,21,23","2,3,7,8,12,18,22,24,30,47,48,50,53,56,62,65,75,79,94","96,8,47,15,52,56,25,94,57",,"97,98,3,67,99,40,74,75,78,48,19,83,88,27,95",,"33,35,70,41,11,43,15,80,82,52,92,63","100,10,13,46,14,77,80,83,84,86,94,91,30,95",,"35,68,99,76,13,77,52,53,84,56,25,60","36,71,11,49,81,86,24,60,31",,"1,65,97,39,74,78,15,53,23","37,39,73,14,15,81,82,56,95","67,69,41,47,87","96,100,38,40,72,73,45,77,85,22,95",,,"96,33,67,4,6,71,42,74,76,77,78,15,80,49,81,52,21,88","3,67,37,99,71,72,77,14,15,80,17,52,84,87,23,90,92,30",,"97,35,99,100,39,8,41,43,46,84,24,28,95","2,3,5,6,26,31,47,50,52,59,60,61,63,66,67,73,75,77,79,84,85,87,92,93,99","72,41,84,37","99,71,7,42,46,15,86","3,5,6,23,27,31,36,38,45,56,60,62,66,68,72,78,90,91,97,98","73,77,79,17,81,51,20,85,24,57,92","2,6,10,13,18,22,23,26,28,29,32,39,51,59,60,63,67,78,79,80,81,98,100",,,"33,7,73,80,28,61,30,31","97,99,42,77,51,20,30","32,96,3,37,71,40,73,42,12,60,15,17,49,21,25,28","2,3,36,66,68,7,39,98,99,12,13,46,52,57,58,27,92","71,40,9,74,75,20,54,55,56","98,99,36,68,100,9,10,41,12,75,15,53,28,94",,"32,3,4,35,69,39,8,72,26,91","3,6,13,28,32,38,45,46,53,57,60,65,66,77,86,89,91,96,97,98","96,65,99,37,72,41,10,43,77,48,84,54,86,63","1,18,20,21,24,26,30,36,38,41,47,53,54,59,60,61,69,73,75,81,91,99,100","3,68,5,37,38,8,72,45,78,18,21,90,60","96,72,9,73,44,77,19,51,22,54","1,2,4,7,12,17,23,24,28,39,40,53,57,69,71,72,77,82,83,92,98","3,45,54,15","83,4,86,63",,,"8,10,11,12,34,35,41,46,51,52,56,58,62,63,68,73,78,85,87,91,93,99",,"33,66,3,35,97,98,10,44,46,78,19,21,90,27,95","3,22,28,38,42,43,45,46,50,58,62,64,65,76,82,83,88,94,99,100","2,67,90,70,42,44,77,79,22,86,62,87,26,27,30,63",,"97,4,68,69,8,73,15,48,17,85,54,90,59,63","76,78,15,16,79,53,23,26,91,29,95","70,72,51,52,22,26","66,67,36,5,6,39,73,74,12,60,47,48,81,18,86,55,89,28","68,69,38,82,84,21,53,87,25,28,61,31"
t5,,"12,20,26,27,31,41,49,50,52,53,55,56,61,62,64,71,72,74,77,87,90,99","64,6,40,72,46,16,17,19,53,86,62,30,31","65,3,36,5,6,72,76,17,51,20,85,89,28,93",,"4,8,9,11,14,24,28,30,36,38,40,49,53,61,68,73,74,76,80,82,91,95,97,100","74,63","35,69,11,76,78,92,18,19,82,86,87,25,26,60,93,31","96,97,98,67,38,6,47,18,52,54,23,56,25,63",,"65,9,47,16,79,22,28,94","32,64,97,3,38,7,70,11,13,49,50,20,55,25,29,63",,"5,7,27,28,31,35,38,39,42,49,65,66,71,74,81,86,87,88,96","64,96,66,69,9,75,12,81,50,19,51,53,83,25,31","1,66,3,69,40,73,74,12,15,47,80,18,84,26,61,94",,"2,10,14,16,20,25,29,36,37,46,48,50,53,55,57,60,61,77,82,86,88,97",,,"97,3,37,6,69,9,42,77,46,78,18","32,33,70,7,10,75,13,49,92,93,94","32,35,36,37,100,7,40,73,47,81,84,53,25,90,27,92","69,71,72,81,84,88,58,92,61","82,100,79","32,1,34,66,36,5,70,77,92,50,82,20,85,93,28,61,95,31","64,2,72,9,43,51,52,22,90,92","96,1,99,38,39,9,12,45,14,16,80,83,85,55,92,93",,"67,58,6,72,44,79,48,51,52,21,53,23,54,55,56,93,29,95","65,98,67,37,5,41,45,17,84,54,23,58,27,94","96,65,5,37,7,8,38,71,43,44,45,91,83,86,87,27,28,62","1,6,11,15,25,28,30,32,39,41,42,44,49,52,69,73,77,79,87,90","64,33,37,72,76,48,50,19,84,30","64,65,2,69,73,80,49,83,20,85,62",,"2,99,69,7,40,72,15,48,92,19,20,85,60,63,31","66,9,73,14,47,16,17,78,19,52,85,86,23,62,30","64,34,7,71,41,75,45,77,79,49,19,83,85,22,56","1,36,5,70,11,15,79,17,61,52,93,87,24,58,60,29,94",,"6,39,11,44,14,16,82,19,27,28,93","32,34,4,38,46,15,16,82,51,83,93,88,58,91,60,61","34,35,5,69,73,10,49,84,91,28,62",,"34,37,90,7,41,10,49,81,21,87,25,26",,"99,39,7,46,60,79,17,81,19,87,28","33,2,34,70,7,8,40,11,76,17,50,81,52,85,88,63,31",,"97,66,3,98,5,90,42,45,47,17,81,24,57,58,88,92","99,39,41,74,45,82,83,28",,"66,67,38,72,41,42,79,48,17,25,92","2,34,66,6,38,8,41,13,46,60,92,50,83,54,88,25,28","100,10,81,53,21,60","64,1,66,70,16,48,19,51,87,56,89,58",,,"65,2,97,68,5,7,40,91,75,12,14,53,26,27,31","2,4,8,19,22,29,34,38,39,42,48,51,53,56,68,69,74,75,79,89,93,94,96,100",,"98,68,69,71,9,11,75,77,79,49,18,81,85,22,25,90,27","97,4,38,71,40,12,13,45,48,82,53,55,23,27,29","32,64,34,66,40,42,74,75,78,79,18,29","2,59,49,53,22,54,27,30","1,8,10,11,12,13,15,17,24,29,41,42,43,49,59,73,77,79,82,99","32,97,35,37,9,11,12,46,48,53,86,31","5,8,11,12,17,21,27,35,37,40,43,50,52,54,58,72,88,89,91,92,94,95,97",,,"96,67,37,42,12,77,17,52,55,63","65,98,70,71,75,47,16,79,53,25,29,62,31","65,66,35,67,5,38,39,100,59,26,27,94,63","33,35,100,74,77,78,15,48,54,55,56,25,26,94,95","34,3,37,41,45,77,48,49,89,28,93","3,4,5,6,11,13,19,27,35,38,42,47,48,49,60,66,67,71,72,78,88,95,97",,"66,7,73,75,15,80,25","67,100,70,9,10,42,73,76,15,47,17,18,48,85,87,24,58,95","1,6,9,11,24,26,28,29,34,36,47,49,68,74,76,80,85,89,95","2,8,14,23,31,32,42,43,51,52,56,62,67,71,77,79,80,84,90,92,93,95,98","32,1,2,89,50,52,24,57,94","66,35,36,71,14,79,81,50,23,24,25,92,93,94","3,8,13,21,29,31,33,41,43,45,47,59,63,67,76,78,79,89,97,99,100","37,6,75,16,83,85,24,61","36,69,71,11,13,77,81,55,90",,,"3,4,13,16,20,21,23,25,30,32,39,40,42,45,53,59,64,65,66,70,74,98",,"99,36,6,71,8,41,75,47,79,82,84,53,55,25,26,59,93","2,8,9,11,16,26,29,35,37,47,51,53,55,56,59,69,73,84,85,87,90,95,96,98","64,3,39,40,48,18,50,20,21,84,60",,"66,98,36,37,70,39,71,13,14,46,78,61,20,53,87,91,28,29","32,2,9,10,41,75,17,50,20,22,24,58,88","37,45,79,47,95,93,94,63","33,2,65,4,68,72,75,16,49,84,23,24,56,92,61,31","65,3,4,70,40,73,12,13,46,79,17,19,85,22,62"
t6,,"33,66,3,67,5,37,38,8,42,46,47,51,21,25,28","96,98,37,70,43,12,60,78,49,52,24,57,27,28,29","64,70,11,46,79,80,81,84,22,23,63",,"96,67,99,90,70,72,12,15,83,20,22,86,26,27,92,62","67,70,39,17,58","80,50,53,30","64,2,35,4,5,73,10,76,46,78,79,17,84,95,55,29,30,31",,"2,5,8,81,53,87,23,57,26","96,98,35,5,72,74,76,45,80,18,83,86,26,92,61",,"6,16,21,23,25,30,36,41,43,46,50,54,59,68,72,84,92,97,98","32,97,2,36,37,38,72,11,43,44,14,84,28,63","64,98,4,100,8,9,91,44,45,77,48,50,21,56,88",,"96,66,100,7,41,91,89,90,59,63",,,"35,40,11,12,13,44,75,48,22,55,87,57,90,59,95","66,73,91,46,16,80,52,21,85,23,27,60,61,30,31","2,3,9,13,14,15,17,18,24,31,39,43,46,49,50,56,57,63,65,66,79,80,83,86,87,88,89,91,94","32,66,99,68,37,6,70,8,73,79,51,85,23,57,90,59,31","62,51,60,22","96,97,37,7,71,10,45,47,55,90","1,34,3,68,5,97,71,78,15,18,50,20,87,57,93","33,68,69,70,91,46,52,87,24,58,27,63,31",,"2,12,46,16,24,26,59","66,3,100,69,47,16,18,50,20,21,85,56","64,99,6,39,42,74,46,47,48,79,81,51,55,24,60","4,8,12,13,14,24,35,36,46,53,57,65,68,70,71,88,93,95,98","96,1,2,3,36,65,9,75,45,78,47,79,22","97,66,36,6,39,43,44,46,48,17,19,52,94,90,91,30",,"100,8,41,42,73,12,74,81,18,52,54,86,62,59,93,30","32,64,35,37,8,40,10,42,44,75,46,80,22,55,87,88,28","32,97,68,37,72,46,80,50,82,52,54,87,88,58,93,95","33,97,7,8,71,13,45,46,16,48,50,19,80,21,62,25,30",,"32,99,69,8,40,41,83,22,86,87,25,63,31","96,35,69,9,42,74,13,78,80,81,20,85,87,23,90,63","65,68,6,70,71,9,75,80,18,20,53,54,85,89,27,63",,"65,68,5,38,70,43,76,77,82,93,89,29",,"89,96,2,66,4,72,85,56,25,90,88,57","3,36,68,59,45,47,16,79,53,22,54,24,27,29",,"64,2,100,37,6,38,70,41,78,50,19,63,82,23,26,91,61,31","42,75,12,17,56,25,88,29,30",,"32,3,35,5,9,73,76,56,27,28,31","4,5,7,9,23,27,29,31,45,47,51,53,59,64,65,85,87,90,94","64,1,12,44,15,48,49,85,58","7,8,41,49,54,91,60",,,"66,100,70,9,41,13,47,94","66,70,91,11,16,82,83,54,24,26,88,95",,"65,4,38,7,73,13,14,48,50,51,82,83,87,23,88,62","32,96,70,14,81,51,54,58,62","1,9,17,19,20,23,31,47,48,52,53,69,77,82,88,89,90,92,93,100","64,97,67,36,6,39,40,70,10,73,74,14,21,55,23,58,94","96,35,4,39,9,81,18,50,83,85,87,57,63","7,72,13,60,78,56,88,28","71,41,73,76,45,14,47,48,19,84,55,56,25,90,62",,,"38,6,43,13,50,53,88,25,62","3,35,36,68,39,9,11,43,45,84,24,57,90,93","33,97,99,43,51,93","64,67,40,41,11,43,47,49,51,20,83,85,89,59,93","36,79,18,85,87,24,57,90,88","2,17,20,21,23,29,44,46,54,58,59,63,64,65,70,86,89,90,93,96",,"67,36,40,42,78,16,49,21,85","36,37,7,72,74,52,29","64,67,38,7,70,71,73,44,46,16,50,21,23,25,60,62,57","58,35,85","34,35,71,42,51,55,29,30,95","64,34,3,4,69,98,11,43,78,16,49,18,21,87,90,95","96,65,36,68,38,6,70,46,81,56,60,61","8,9,10,13,77,82,56,25,91,62,57","64,89,97,3,37,38,73,10,79,48,18,50,20,21,22,84,57,27",,,"67,71,9,77,17,86,26,61",,"67,68,5,38,7,9,73,11,43,80,18,83,20,85,58,30","4,7,39,40,75,14,18,24,25,92,57","65,1,100,76,78,47,80,85,54",,"33,7,11,45,49,18,50,52,81,83,23,56,92,93,30","34,67,98,38,71,73,42,84,93,86,87,89,61","34,67,36,5,40,77,89,29,62","3,70,41,77,20,22,88,94,62","32,64,98,67,99,90,9,74,91,76,50,20,54,23,24,26,88"
t7,,"4,68,75,76,19,30,95","2,99,4,38,80,87,89,26,94","34,98,90,9,43,78,52,54,58,59",,"32,39,7,78,16,50,21,56,25,29,94","66,3,78,80,84,85,22,56,89,28",5,"36,69,7,39,41,43,12,45,14,15,80,49,19,21,53,87,59,93",,"100,38,74,43,12,14,18,89,27","65,40,41,78,51,24,57",,"3,11,44,13,47,83,53,57,93,63","98,35,3,73,54,22,87,58,62","67,39,71,83,53,86,23",,"56,39",,,"4,36,43,16,84,88,89,26,93","64,97,2,5,90,11,43,45,77,48,18,51,20,53,58,29,62","33,34,67,68,69,38,98,72,10,74,75,19,22,58,29,95","2,5,9,13,19,26,27,35,39,43,44,47,50,55,60,64,65,67,75,76,87,93,97,98","6,39,12,45,56,92","65,75,38","98,58,37,38,8,13,82,55,86,23,89,26","41,90,53,13",,"83,60,31","34,99,71,8,75,82,53,22,87,90,93","33,2,34,4,36,67,100,41,75,12,15,52,56,25,29","99,80,18,19,21,56,62,31","98,67,68,100,6,38,42,11,16,81,18,21,56,57,92","33,3,67,37,71,40,41,72,74,77,81,51,21,88,57,27,92,29",,"43,51,84,23,91,28,29","65,34,67,79,84,53,59,61,94","33,67,5,8,73,76,17,81,53,23,24,89,59,92,61,63","99,38,41,14,47,81,53,85,90,95",,"7,9,15,20,24,26,30,34,35,37,43,48,54,71,76,79,80,84,88,89,98","89,33,36,40,19,55,25,59,92,31","33,97,38,39,40,42,13,46,77,78,79,81,19,21,60",,"4,69,12,45,18,24,56",,"64,65,37,40,45,16,18,61,21,91,29,30,31","96,65,97,4,5,6,90,42,43,74,19,26,92,93",,"4,69,72,14,49,83,21,55,28,29,62,95","65,2,35,100,69,38,40,73,46,53,55,95",,"43,11,83,52,88,89,93","97,3,36,69,71,40,74,11,43,84,26","11,45,78,79,19,84,31","98,71,75,15,92,20,23,25,28",,,"38,35,11,22","5,47,50,20,85,27",,"1,3,70,72,78,53,21,91","25,34,43,36","2,3,13,16,22,36,39,44,46,57,59,60,61,62,70,71,73,81,85,87,95,97,98","1,34,5,11,76,77,60,78,79,51,83,85,87,28,93,63","58,7,74,20,26,92,95","64,5,70,42,21,61","64,1,65,42,44",,,"66,35,5,69,70,41,44,14,81,51,21,24,59,94","69,7,40,46,18,22,55,87,63","46,56,85,6","4,60,81,28,31","32,65,73,15,16,83,53,23,29,94","32,40,81,51,52,84,55,61,62",,"64,65,74,14,81,19,22,87,58","49,19,20","32,2,39,12,15,82,83,20,91,94",,"33,4,28,36","1,67,37,7,10,74,75,13,45,15,46,52,56,62,26,91,30,63","64,50,93,86","66,100,5,7,72,42,44,76,18,20,88","7,8,15,17,24,26,31,32,34,35,43,45,46,53,61,62,68,70,78,85,88,92,94,96,99",,,28,,"2,13,16,87,89,28,29","33,72,80,49,86","68,10,45,46,14,51,53,93",,"64,9,10,43,44,47,16,80,19,51,86,25,57","65,99,4,37,6,8,77,85,56,57,62","32,4,68,100,46,80,84,88,90,28,30,31","80,97,42,44","2,34,35,66,41,47,16,81,18,94,60,29,30"
t8,,15,"68,69,20,90,93","32,1,39,13,47,50,86,55,56,26,88,60",,88,"64,97,71,40,10,42,75,14,46,47,19,52,61",47,"33,44,81,94,22,86,24,89,26,61,62",,"1,68,10,46,15,17,90,60","2,42,77,47,52,93",,"10,100,82,70","4,42,16,18,93,57,26,92,61",6,,,,,"32,64,68,15,19,85,54,24,94","96,3,4,37,36,68,47,79,88",52,"96,33,38,40,41,10,42,74,78,15,49,83,21,94,62","97,70,8,9,72,78,48,85","8,16,76,49","32,4,76,48,61,31","56,71",,,"4,40,78,19,26,59","72,21,89,63,95",,"97,66,5,8,46,80,20,52,88,89,91,60,29,31","99,4,38,9,45,47,79,84,53,22,55,25,93",,"66,70,50,88,26","96,33,2,97,11,18,51,56,57,31","96,1,13,47,16,18,20,84,27,28","65,34,10,42,12",,"65,4,68,70,90,10,45,46,47,78,81,51,85,57,58,61,94","1,66","32,66,3,36,50,82,24,90,29",,"16,22,60,61,31",,"67,36,68,6,42,75,44,53,94,26,62","32,41,61,15",,"34,36,73,10,44,20,86,30","33,98,67,7,43,13,79,80,19,89,90,93",,"64,34,45,13,49,81,82,21,59,30","32,68,100,10,44,76,79,22,93,30,63","32,96,66,3,5,6,40,73,43,46,83,90","99,36,9,46,79,61,30",,,"24,20,39","36,63",,"96,47,20,56,89,94","41,49,7","4,5,6,8,11,21,30,35,43,45,51,54,55,56,58,63,68,80,83,99","33,4,37,68,69,8,9,41,75,100,80,56,90,92","16,70","98,4,100,15,49,19,52,22,91",75,,,"98,100,40,10,11,74,46,54,56,58,60,29,95","2,27,78,80,88,89,59","10,19,29","8,9","66,2,10,13,78,61","80,26,43,45",,"88,100,44,55","25,35,4,41",3,,"74,69,47","32,65,99,41,12,47,80,20,85,27,28,61","9,62","96,90,39,40,81,21,58,59,94,63","65,66,67,5,39,40,42,91,76,60,47,82,51,54,25,59,28",,,97,,"86,12,52",27,"89,61",,"1,74,76,22,55,26","33,36,40,44,13,47,48,55,25,90","65,2,69,73,14,48,50,19,87,58,27,92,61","64,17,35,27","96,97,5,10,89,63"
t9,,,"34,83,77,61","33,8,74,95,94,61,62,31",,,"8,11,15,23,30,32,38,45,49,51,53,73,76,77,90,91,92,95,98,100",,"72,88",,"3,4,36,69,71,73,42,75,50,56","73,44,94",,"99,60","100,86,27,29,95",55,,,,,"67,99,5,7,41,60,61","1,65,81,87,24,25,56,28,57",,"36,16,20,56,25","3,67,7,40,71,43,13,77,47,83,20,53,93,27,61,31","25,74","56,42,79",72,,,"77,46,51,89,63","66,3,23",,"40,41,12,77,17,83,24,58,93","58,68,86,87,56,26,28",,"16,21,55","81,1,7","4,70,40,11,15,90,62",74,,"1,3,38,77,60,29",,"100,83,86,92,61",,"20,62,71",,"100,69,9,51,84,86,23,27","56,55",,27,"18,68,21,15",,"7,44,14,16,57,26","67,35,12,77,21,61","97,35,68,38,71,72,9,75,14,50,82,93,54,23,27,61,63","74,43,82,18,86,24",,,79,,,"34,60","9,98","24,15","3,43,44,13,50,61,20,82,29,31",,"33,34,3,36,6,40,14,58",,,,"65,34,71,8,76,48,83,20,23,89",91,"11,70",,"17,67,62","16,37,30",,"94,12,6",75,52,,,"89,86,39",,"98,35,67,69,99,71,52,22,26,27,60","100,6,74,80,49,52,29",,,27,,,,16,,,"1,74,59,21","16,24,66,6",43,"49,6,15"
t10,,,"8,13,15","35,38",,,"2,35,4,9,41,13,79,48,81,18,20,54,87,24,93,31",,92,,"35,77",19,,,"88,33,39",,,,,,"20,52,31","41,76,6",,,"32,64,65,66,68,69,14,80,18,54,87,89","57,59","41,19",,,,,"98,78",,"10,63","50,61,5,95",,,82,"98,36,6,78,14",,,33,,"88,12",,,,"20,55",60,,,"10,92,5,63",,"40,2","89,99","99,37,70,76,22","97,67",,,"85,62",,,,,,"12,57,26,62,95",,"67,27,45,63",,,,"75,79,82,85,90,91",66,,,"46,63","24,87",,13,"16,51",,,,,,"4,68,41,78,79,80,92",75,,,,,,,,,,"64,7","97,85,53",,83
