Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99,Sursa_100
t1,"56,37",73,"59,100","90,29",,"4,10,13,15,83,58","98,5",4,75,"97,78","64,83",,"40,17,82,59",81,10,"2,22,89,58,93","89,78",65,54,"86,71","72,73,22","72,34,61,71",,16,"11,31","94,30",39,87,,"43,28,71,15","8,98,77","46,79,19,56,58",55,"65,90","88,49",,"24,75,45","61,15","56,27,7","89,51,78",,98,64,64,65,"17,95",,41,"48,27,39",,75,"34,60,30","32,96,14","42,19,39",,"58,3","73,49,26,38",20,"26,46",,20,"36,69,44","81,98,36","49,78,31","64,97,45,48,56,25,57","72,9,97",,,40,97,"77,39",36,"9,84,14","48,34","42,67","48,54","24,68,45","40,14","66,94,87",92,"48,51",87,"10,3","40,3",43,18,77,,"10,67","27,54",14,80,19,"88,21",54,,"10,28,90",4,"60,7","40,85"
t2,"36,60,79,90,28","35,77","74,63,55","68,69,71,18,19,50,54",,"3,5,71,40,9,12,17,81,85,56,91","34,86","98,67,6,77,14","16,93,38","24,89,72,15","72,73,44,49,82,20,27,62",,"64,96,6,47,31","1,28,53","97,30","3,6,72,12,78,81,52","32,67,40,12,81","25,60,76,55","25,43,63","98,39,8,13,18,54,28,31","97,3,37,71,42,48,92","32,96,97,3,69,46,63",,93,"40,92","8,34,11,79","80,99,30,7","16,4,13",,"37,73,41,14,81,83,86,93","3,71,42,46,48,24","36,69,40,72,42,11,49,51,59",,"97,68,46,57,94,31",64,,"66,6,9,11,15","8,90","42,12,38,52","54,79",,"64,23,7","81,11,31","72,34,100",,"25,67,41",,60,"35,7,40,41,81,83,52,94",,"98,38,15","2,99,15,20,28","41,50,20,71","73,80,52,27,62",,"100,72,44,83,84,85,63","65,35,36,37,71,8,83,24,94,95","34,11,55","99,43,19,95",,62,"64,10,74,57,95","1,4,71,54,93,62","98,67,6,25,92","34,70,41,42,74,44,47,49,85,90,94,31","3,36,37,71,7,73",,,"88,96,13","2,68,76","73,85,30,27,92,62",71,"35,6,75,88,91,62","27,41,45,21,91","3,6,15,53,56","25,52,29","64,99,69,70,73",48,"97,67,37,9,11,75,46,78,21,27,28,63","86,87",13,"16,9,84,92","100,6,15","48,69,54,87",30,,"8,48,68,46",,"65,66,3,47,15,85","85,63",,"1,52,85,60",,"48,68,61","43,19",,"36,13,78,15,19,86,88","24,6","80,35,92,23","96,66,19,87,91"
t3,"64,33,2,69,71,72,41,42,73,13,15,19,88,93","32,83",60,"1,5,40,42,46,48,82,88,92,93,62",,"98,100,69,7,72,73,42,43,75,47,88,63,31","74,94","2,68,5,100,74,75,78,15,55,57,27","59,15","99,46,79,16,81,21,57","96,1,99,58,69,70,71,78,84,24,26",,"67,36,38,72,10,84,86,24,28","40,42,15,47,49,18,21,54,30,63","65,37,8,76,46,52","64,98,67,43,48,50,51,20,82,26,59,63","65,2,7,74,13,46,79,19,21,87,27,31","37,70,80,19,54,95","99,35,70,42,81","5,6,41,77,15,51,83,25,95,63","65,36,41,43,45,15,16,83,52,53,85,27,28","2,4,39,7,45,51,53,24,93",,"56,87","60,94","98,68,37,47,50,83,20,88,61","96,59,52","2,67,69,5,70,15,82,88",,"35,68,6,9,10,75,79,48,49,53,55,23,25,91","32,37,38,72,43,75,76,20,52,54","64,98,3,100,90,39,74,77,78,17,82,84,22,25,26,30,95",,"2,67,99,37,100,9,43,19,83,53,59,92",91,,"36,40,73,10,78,49,83,20,84,26,27,92","18,27,50,79","65,2,3,31","5,43,81,85,23,25,90",,"99,67,72,55,91","57,83,46,86","69,51,53,22,23,63",,"32,54,7",,"2,99,37,47,52","32,64,2,89,37,10,11,12,13,75,84,85,54,87,88,25,91,28",,"36,6","97,40,10,11,75,13,14,16,48,91,29","99,8,11,60,79,21,90,28","69,6,45,46,48,17,49,84,23,89,26,63",,"89,66,99,36,5,37,39,74,75,12,79,21,53,54,57,27,93,94","2,3,7,12,15,19,22,39,45,48,50,52,53,54,56,63,69,70,81","25,83,94","36,41,74,12,14,94",,,"73,49,28,31","3,69,6,8,40,72,51,56,27,29","65,2,4,8,42,83,27,95,63","1,2,99,36,5,73,43,75,77,16,81,19,21,87,62","2,42,77,60,15,48,54,23,57,26,59,28,31",,,"70,11,6,63","10,29,71","35,7,8,10,45,21,87,23,88,57","82,4,69","64,65,36,70,13,15,92,83,85,89,60,29","96,66,6,11,12,75,83,26,61","100,72,12,77,78,79,17,84,61","64,41,74,73,23","98,83,27,31,29,62,63",,"34,3,98,41,42,45,15,16,47,18,19,48,22,89,90","64,4,36,9,73,46,24",50,"58,3,78,7","27,36,13","65,7,71,83,20,85,22,57,58,63","11,71",,"32,40,76,45,19,21,89,61",,"97,99,36,38,91,44,77,48,49,50,84,53,56,25,88,31","36,5,39,48,93",,"64,47,55,89,63",,"65,66,43,77,81,29","64,85,79",,"32,89,72,9,16,18,52,21,22,87,94,57,62,63","29,5","98,73,18,86,25,93","34,45,48,23,57,90,93,63"
t4,"5,6,16,27,32,46,48,54,55,59,61,62,66,67,68,75,92,94,96,98,100","3,69,9,82,20,91","89,2,92,23","65,66,99,37,74,75,44,45,78,83,22,59,28,30",,"33,66,99,68,38,8,46,16,48,18,22,55,89,59,28,93,62","99,2,27,36","65,66,38,39,76,83,23,56,89,60,94","64,10,74,13,88","3,73,12,49,51,20,53,88,58,59,60,61,94","89,3,36,68,76,79,80,92,19,52,85,22,87,57,59,60,29,94",,"3,4,7,9,15,20,25,27,37,39,41,42,50,62,63,66,69,89,97","66,3,70,39,72,75,45,46,80,19,83,22,87,25,90,91,29","67,42,48,81,18,55,26,60,61","32,34,66,4,5,100,71,8,73,75,76,13,91","8,9,25,26,28,37,39,47,48,49,53,54,56,63,69,72,80,88,90,93,94,97","34,100,5,7,41,42,75,45,46,84,87,29,62","98,20,60,23","33,2,65,66,68,38,73,10,91,44,55,23,26,59","2,35,68,99,6,38,39,12,77,78,47,79,49,81,87,23,61,31","35,67,70,42,75,15,16,20,23,89,29,30",,"1,42,41,39","72,83,2,27","96,35,4,69,70,71,73,74,77,48,81,86,57,90,29","64,2,34,41,84,88","65,99,36,100,40,9,42,11,12,76,78,79,17,22,62",,"64,1,65,3,89,8,42,44,13,78,50,51,20,52,22,85,57,27","64,70,16,51,84,85,26,91","1,34,5,38,73,76,45,15,80,50,52,54,23,88,57,91,29,62",,"64,3,36,6,8,72,73,74,75,79,85,89,60",,,"3,17,18,19,21,31,48,50,55,56,57,63,64,65,68,69,72,74,82,90,96,99,100","40,51","40,67,55","99,38,41,10,73,14,19,52,83,55,56,26,91",,"89,66,6,41,75,79,17,20,25,57","98,35,36,10,77,21,55,89","3,5,70,9,73,46,79,82,85,60,29,62,31",,"35,99,81,51,26",,"42,45,78,16,81,51,30","97,34,3,67,99,38,70,42,46,15,16,79,80,21,57,90,62",,"49,90","66,67,4,6,38,9,76,45,47,17,18,49,82,83,84,89","64,65,3,37,38,69,91,12,45,51,23,89,58,27,94","3,8,13,14,15,16,21,28,29,31,32,34,35,36,40,50,53,57,59,61,65,70,72,78,85,87,95",,"6,7,11,15,17,19,24,25,35,40,42,46,50,52,60,67,68,69,70,81,90,97","4,5,14,23,27,30,31,34,40,42,43,46,47,58,61,64,72,76,85,93,97,98,99,100","56,74,72,60","42,60,21,91,28",,,"37,42,77,15,83,86,25","65,66,39,41,44,15,47,83,89,26","96,66,35,90,13,14,46,16,81,50,56,62,26,88,28,93,30","3,6,9,14,20,24,28,32,35,37,38,50,51,52,53,55,71,72,79,91,93,98","6,14,18,19,27,29,32,41,43,45,46,47,51,52,53,68,75,87,94,98,99,100",,,"67,18,21,53,23,25,58,27","99,78,11,62","1,9,11,16,24,28,36,41,44,47,52,61,72,78,82,84,93,94,99,100","98,3,8,77,87,24","97,99,4,68,39,8,45,48,49,82,20,22,95","100,5,69,40,10,15,49,20,22,55,29,30","64,2,66,4,37,40,10,20,22,23,87,89","32,34,67,99,71,75,59,28","3,38,10,42,43,76,86,30",,"4,8,17,25,40,49,52,54,60,62,64,70,72,74,76,83,85,91,96","35,67,69,99,71,100,11,13,77,47,81,18,30,95",95,"64,90,6,45,14,47,52,26,59,28","5,38,40,73,49,90,63,31","64,33,66,9,41,11,43,91,50,21,53,55,56,59","37,5,73,10,48",,"64,35,71,41,53,54,86,94,90,27,28,62,63",,"5,9,14,17,18,19,20,21,22,23,24,35,41,42,46,62,64,73,74,82,83,96","64,34,70,7,40,71,43,75,80,17,49,52,91,95",,"34,67,5,73,74,75,16,21,88,59",,"4,6,42,44,14,89,59,60","34,67,81,86,87,94",,"3,7,8,11,12,17,20,26,27,30,34,35,39,41,47,61,66,69,79,81,84,85,91,92,95","88,68","36,71,9,75,77,91","38,9,41,73,47,17,50,54,31"
t5,"97,4,7,8,39,44,76,17,50,83,21,53,85,86,89,58,91,63","64,99,36,7,71,44,45,79,16,93,94","39,10,75,12,79,57","33,2,34,36,7,41,14,47,81,85,95,57,26,94,31",,"32,70,41,74,11,79,20,52,84,86,57,26,92","37,6,38,15,81,19,83,31","32,96,34,35,40,72,11,12,80,49,90,63","65,34,67,98,100,70,49,82,85,63","6,9,26,29,30,31,32,40,47,50,54,56,64,66,67,84,90,93,96","33,34,97,7,39,40,42,77,46,47,21,55,23,56",,"8,12,33,34,35,45,46,48,52,56,60,61,65,71,74,78,80,98,100","7,9,16,20,23,24,26,32,35,37,59,65,68,69,71,73,78,85,88,92,94,99","33,2,43,78,80,20,21,90,92,31","38,40,77,84,54,55,25,90,60,61,30,57","3,10,11,18,22,24,30,35,36,38,42,50,51,64,70,73,84,85,100","32,64,2,35,98,99,71,10,11,91,48,51,53,22,85,57,59","64,65,2,66,72,48,85,55,58","1,97,4,88,42,74,75,14,78,79,85,24,90,27,60,61,30","32,1,64,66,5,9,75,13,14,84,54,55,57,29","37,91,78,19,85,54,25,27",,"64,33,35,80,49,84,95,31","96,39,73,9,52","12,21,25,31,32,39,44,45,46,49,54,55,58,62,64,75,82,84,89,92,97,99","98,67,69,6,82,25,60","10,20,21,25,30,31,33,34,37,38,39,43,46,47,49,51,52,53,54,55,60,73,74,84,85,89,92",,"34,66,4,67,69,7,40,72,74,90,47,80,19,54,88,26,60","69,40,11,81,19,22,87","97,6,70,9,44,13,18,85,55,89,27,60,61,63",,"66,10,45,77,81,50,20,84,23,26,93,62,63",,,"5,7,22,29,33,35,42,44,46,51,52,53,54,58,59,60,61,67,77,80,81,86,89,95,97","66,19,100","74,77,54,89,59","96,65,6,8,42,15,48,60,30",,"32,34,69,71,73,76,78,15,47,81,51,83,53,84,87,90,27,31","1,33,3,65,40,72,42,12,78,15,47,18,53,61,63","2,7,8,16,19,26,27,32,37,39,42,49,54,55,76,80,87,96,98",,"73,74,45,15,79,89,59,94",,"9,43,14,84,23,92,29","65,66,36,58,6,72,14,17,19,51,53,55,24,56,60",,18,"65,98,35,36,37,7,8,71,12,86,57,90,62,63","97,34,68,6,40,73,42,44,13,16,83,84,85,57,26,29,63","4,18,22,25,30,38,51,60,67,68,77,79,82,83,88,94,96,98,99",,"32,64,98,38,73,76,13,45,47,16,48,18,23,91,92,62,95","6,10,13,16,20,25,29,41,44,59,60,66,68,78,80,88,89,92,96","97,67,3,99,100,12,79,86","65,15,17,52,84,56,25,61",,,"65,97,35,70,43,76,78,19,53,88,91","7,91,11,12,45,46,75,48,49,52,85,24,59,92","5,11,15,19,20,22,29,32,34,38,39,41,51,52,54,61,68,72,75,77,80,94,97","4,8,10,13,23,26,27,29,30,40,54,60,61,66,69,83,84,86,89,96","11,13,16,21,22,24,30,35,40,44,56,62,63,64,65,69,70,76,80,81,84,85,90,92,93,96",,,"66,35,3,42,78,49,54,90,91,60,31","5,39,25,92,94","2,6,13,15,20,26,31,34,37,38,42,51,54,55,58,59,63,74,79,81,83,89,95","40,42,13,45,47,84,90,91,28,29","69,71,10,43,74,50,21,24,25,61","32,65,99,4,36,38,70,71,78,79,80,51,52,54,86,56,87,62","69,7,8,41,71,73,16,18,83,52,85,88,26,28,29,30,63","33,98,37,70,39,8,17,49,81,85,22,61,30,63","35,79,52,21,25,61,57",,"65,2,36,100,39,71,13,81,20,23,88,57,30","1,6,8,15,26,29,32,33,38,41,44,51,53,54,59,60,75,83,89,90,98",,"2,34,4,66,38,70,40,73,74,77,18,54,23,91,60","64,65,34,67,37,72,42,50,19,21,53,56,58,59","32,34,99,100,5,6,12,45,46,47,77,49,78,81,52,25,93","2,66,98,78,17,49,19,52,83,84,60",,"3,7,13,15,18,20,25,31,34,36,37,39,42,51,52,56,66,69,81,83,85,88,95,97,98,99",,"1,6,12,13,16,27,28,32,43,45,51,52,54,55,57,69,70,79,81,86,94,98","65,66,35,67,38,9,42,14,79,19,20,25,28,62",,"3,36,37,6,68,72,90,44,76,19,20,26,28,31",,"1,35,100,69,53,87,23,56,57,62","36,37,100,8,40,72,73,44,77,78,84,88,26,28,63",,"5,6,31,33,40,42,44,46,49,50,58,65,73,75,77,80,98,99,100","81,76,55","68,43,76,53,54,22,88,89","97,3,37,5,42,51,24"
t6,"3,35,70,74,12,14,47,81,18,20","97,100,37,70,88,74,48,81,87,24,59,95,63","97,67,37,73,77,51,53,54,85,26,93,62","3,6,8,9,10,11,15,16,43,49,60,72,73,77,86,87,89,91,98",,"97,80,50,25,60,30,95","64,65,97,35,100,40,10,42,12,44,79,20,53,24,57,26,28","99,69,43,13,47,17,18,19,52,54,59","3,36,37,68,69,8,71,12,46,47,18,51,53,22,87,57,27,62","33,34,35,4,65,38,68,98,41,75,13,80,82,19,52,27,28,63","65,98,35,100,41,75,15,50,91,61",,"32,1,68,73,11,43,77,79,18,51,83,21,85,88,90,92,94","64,34,41,11,79,48,93,86,57,58,27,61,95,31","96,34,3,68,41,77,14,16,19,53,86,87,94","65,68,69,70,47,17,24,56,28,62","96,1,33,34,98,71,45,15,16,23,91,92,62","9,13,14,15,20,21,26,31,38,39,43,49,66,67,77,79,83,92,93","97,37,5,39,73,12,45,76,84,53,22,86,88,91","35,3,99,70,100,46,16,48,81,21,56,57,94","96,33,40,91,46,50,51,82,88,89,26,59,62,95","73,79,80,18,57,95",,"36,6,72,9,11,17,50,19,51,88,59,30","75,14,19,22,56,89,93","3,67,6,38,72,9,10,43,59,76,16,80,52,53,27,63","65,68,5,38,11,75,18,62","7,8,18,19,23,29,35,41,57,58,63,72,75,77,80,81,90,93,96",,"32,99,100,5,39,11,77,84,87,56,29,63","66,5,7,79,50,89,94","33,65,35,7,10,12,83,20,87,93,94",,"1,69,70,40,41,12,13,78,15,16,17,47,48,51,21,52,82,29",,,"32,2,8,12,94,85,87,23,88,25,62","42,53,37","8,57,50,71","97,67,37,76,13,84,62,31",,"3,4,9,21,38,40,46,50,54,62,63,65,68,77,80,82,85,92,97,100","96,34,66,100,5,38,45,17,19,51,84,22,90,91,29","36,6,41,10,74,12,47,48,20,86,94,56,25,58,28,30",,"3,70,91,47,16,21,53,85,24,86,27,61",,"34,4,100,39,71,79,80,49,86,87,88,59,62","96,44,47,22,31,95",,,"64,3,5,72,41,73,46,54,23,24,87,58,27,61,95,31","2,98,100,70,88,10,77,48,17,19,54,87,24,25,59,93,30,95","64,2,37,7,71,81,24,90",,"1,65,8,78,20,87,29","1,67,11,18,86,55,62","64,2,41,73,13,47,82,51,21,53,92","32,4,90,38,13,47,22,23,58,30,31",,,"34,7,39,71,75,48,18,20,85,94,90,61,30","32,64,34,100,38,10,42,77,80,19,86,57,30","89,33,100,70,71,40,73,43,47,79,84,53,85,57,58,91","33,100,11,76,46,15,88,63","1,34,67,38,39,74,82,83,20,86,88,25,91",,,"1,65,36,37,76,15,48,17,83,20,52,57,94","34,67,36,37,6,46,80,18,87,95","65,66,98,4,5,68,70,43,75,17,18,50,90,91,60,29","34,99,70,73,48,81,18,54,88,89,61,94","96,3,72,46,16,53,23,90","7,8,13,25,33,43,46,47,53,60,67,68,73,76,85,92,94,97,98","32,36,38,39,70,9,91,11,46,48,54,57,58,27,93","1,6,9,13,15,16,31,40,43,44,45,47,51,53,65,80,83,88,89,100","66,2,37,74,23,89,26",,"1,6,53,86,92,31","3,37,7,39,76,79,16,50,19,20,23,25,58,63,94,57",,"97,35,67,37,71,8,48,50,19,20,55,29,63","1,66,97,98,45,60,78,81,20,84,22,86,24,26,88,28","2,35,67,98,10,74,76,14,79,19,51,89,90,27,60,29,31","69,90,9,75,46,79,86,56,26,92,93,94",,"1,5,9,11,12,22,47,50,55,58,60,65,67,70,72,74,75,78,79,82,84,91,92,100",,"2,34,4,37,68,71,100,78,61,87,58,59,29,63","3,4,69,6,73,76,13,81,86,87,56,94,30,31",,"96,65,97,70,7,40,10,42,78,81,83,84,86,62,27,29,30",,"64,33,3,37,71,40,73,15,16,17,18,80,20,82,22,83,85,31","3,7,10,12,14,15,17,18,24,27,33,45,47,51,60,66,71,75,89,93,96",,"64,2,67,37,45,14,51,83,55,25,59,60,29","8,57,20,54","34,3,100,38,39,70,14,79,16,21,62,57,90,61,30","72,65,13,55"
t7,"10,22,23,25,26,29","1,34,66,98,5,38,39,40,10,42,51,84,57,58,28","64,33,66,35,4,98,6,71,40,41,45,50,84,86,25,29,31","64,96,76,80,20,52,23,55,84",,"96,19","4,8,11,25,30,32,61,62,67,68,69,70,71,76,77,78,84,89,91,93,95,96","3,70,7,42,48,51,84,22,61,30","4,6,7,21,24,26,30,31,39,45,50,56,61,66,72,73,77,81,89,90,97","37,5,39,7,69,42,71,48,83,95","2,67,8,45,16,48,18,51,93",,"58,5,23,55,26","96,36,8,74,43,12,13,77,17,82,56,62","32,64,35,9,13,45,17,83,56,29","10,42,74,46,80,49,88,27,95,31","99,5,43,77,14,20,86","97,36,68,6,12,78,56,90,88,94,63","34,11,75,16,52,24,89,59,62,31","69,47,80,19,52,84,58,93,62","34,8,44,20,25","50,84,77,6",,"67,58,5,38,71,73,43,45,78,47,92,82,52,26,28,29","100,70,71,16,81,53","2,66,78,22,23,87","66,71,13,77,48,51,53,86,90,91","1,66,3,68,98,6,44,45,48,26,91,94",,"33,2,98,82,31","33,67,12,78,53,90,27","96,99,4,41,43,75,16,31",,"96,35,5,80,88,25,91,30",,,"34,43,30,79","32,2,3,98,77,81,21,54,85,56","4,69,5,53,95","2,75,80,17,21,24",,"33,35,36,5,58,43,26,28,29","97,2,99,4,37,69,7,14,48,50,20,54,56,88","33,97,67,99,11,81,52,21,84,90,95",,"33,97,100,18,83,52,22,88,28,62",,"3,69,70,90,40,46,83,20,21,54,55,85,26,28,61,31","1,98,43,77,82,18",,,"56,42,100,55","66,67,4,5,7,39,43,75,76,46,15,62,31","1,43",,"4,71,9,82,88,26",90,"66,5,44,46,78,16,48,18,22,89,91,31","97,98,3,6,71,72,44,82",,,"99,5,38,8,9,41,11,80,51,22,27,63","88,17,50,74","9,82,55,86,87","17,92,78","8,12,50,55,61",,,"97,34,98,100,5,72,74,75,77,47,19,85,87,55,61,30","1,65,35,4,98,41,44,14,15,47,83,21,53,24,90,60","64,67,12,76,22","1,97,5,75,14,15,16,79,21,86,27,95","2,34,66,67,44,77,78,17,56","64,89,3,37,39,9,17,19,57,90,59,95,31","1,65,35,5,13,47,80,21,92,94","3,4,5,7,10,12,14,36,42,55,57,58,60,62,66,77,79,84,90,91","67,72,12,78,16,51,94",,"38,73,84,55,56","97,70,72,17,49,82,55,27,28",,"98,36,5,100,39,41,93,85,25,61,94","4,70,41,47,79,51,52,23,94,62","96,68,37,38,75,17,23,94","99,4,68,38,39,13,50,51,87,59,63",,"6,10,14,16,80,23,59",,"33,75,30,7","96,1,98,58,68,72,41,44,77,83,53,26",,"33,2,98,4,39,8,41,43,12,13,49,51,22,87,24,93",,"98,99,38,7,8,39,72,11,45,46,84,58,91,30,63","65,5,38,9,41,76,16,49,82,22,62,57,59,92,30",,"1,71,48,82,53,24","65,100,37,11,51,62,26,30","32,97,8,11,48,49,51,20,55,28,31","1,98,67,88,25"
t8,"65,43,11","96,4,8,72,17,53,54,25,90,61,31","65,69,38,7,8,14,15,48,49,18,78,20,80,87","51,53",,2,"9,41,73,75,45,46,47,80,82,21,22,23,54,58,88","73,82,85,53,86,62,95","96,1,35,99,43,44,14,78,80,52,84,54,23,92,94","43,45,62","88,17,37,30",,,"100,38,52,84,89,60","4,79,82,85,23,89,91,28","18,11,44,15","60,61,6,55","89,3","4,36,38,100,41,83,87,57,61","40,9,43,64",30,"86,66,11,38",,"32,97,34,3,4,66,100,7,12,77,48,81,55,22,23,60,63","33,97,12,45,77,48,80,20","24,18,85,15","4,100,40,73,42,14,47,79,81,19,20,21,22,24,29","64,27,59,95",,,"97,4,100,6,39,9,15","24,67,28,71",,"56,38,39",,,,"1,10,24,26,31,36,43,44,45,47,48,57,58,71,73,78,83,84,86,91,95","99,68,81,51,21","3,35,39,71,46,16,18,27,94",,"8,74,16,49,86,88,30","68,71,8,41,52,23,58,60","65,66,4,71,13,14,17,50,24,89",,"65,6,71,8,9,40,77,30",,"32,68,73,77,17,18,19,22,58,27,94,95","73,33,69,71",,,51,"72,82,55,92,61",,,61,,"65,36,42,76,77,14,24,90,59,61","64,33,100,37,69,8,10,77,78,49,50,83,53,27,92,62",,,"66,98,58,6,17,26","78,28,70,68",7,80,4,,,"64,99,8,41,73,46,16,81,93,24,29","32,3,100,38,7,9,73,43,13,77,79,85,56,58,28","97,3,86","68,38,92,80,83,31,63","57,58,52,94","50,58,63","97,99,76,81,49,90,60","69,38,18,20,87,24,56,27,94","32,97,11,14,50,93",,5,"65,34,42,74,22",,"72,42,79,22,62,31","80,99,12,29","16,1,61,24","65,100,42,45,24,28,29",,"33,43",,,"97,2,99,11,12,45,47,51,84,88",,"66,35,100,38,71,77,48,50",,"96,70,10,13,86","32,2,98,69,70,39,42,11,46,48,20,21,55,25,31",,"96,74","32,64,34,67,73,75,13,46,15,60,52,28,61,31","64,65,41,10,15,81,56","75,11,69,61"
t9,"49,31","76,13,47,15,50,19,62","1,34,99,68,42,19,52,83,22,90",70,,,"1,33,66,39,13,50,51,85,87,90,92","64,45,79,87,26,28","42,83,20,79",11,,,,"97,10","66,98,71,40,22",14,52,,"33,71,77,46,15,90,28,29,94",87,,"48,9,92",,"65,2,68,37,8,40,44,13,21,85,89,90,91,61","4,8,41,74,44,47,49,82,86,55,63","91,19,14","89,8,72,63,55,57,58,61,31",50,,,"13,14,57,60,62",37,,24,,,,"6,9,11,12,20,29,30,34,41,46,49,55,60,63,64,67,68,70,87,88,92,94","36,100,46,84,22,25,92","32,72,49,20,53,86",,"2,61,70,39","92,85,94,79","43,15",,"2,37,5,39,69,42,43,44,50,84,87",,"66,67,35,8,74,76,13,91","86,68,30",,,,"49,36,78,86",,,,,"96,33,38,10,19,87,57,26,28","1,2,66,67,68,11,75,45,79,81,88,29",,,"3,79,23,87,89,60","97,67,76,82,23",,,,,,"71,7,45,86,89","33,8,42,45,49,63,52,57,61,31",56,"67,10,59,96","79,55",23,98,"82,35,21,78","41,20,36,84",,7,"43,84,14",,"88,1,96,21","74,91,46",,"64,34,70,6,47",,,,,"100,8,50,21,22,23,89",,45,,"97,41,74,50,54,24,90,28","97,35,99,6,13,61,52,53,29",,,"2,9,12,14,17,21,23,36,40,41,43,53,58,63,66,70,71,80,82,89,90,99","72,85,13,78","71,79,84,21,27"
t10,,"75,30,23","70,44,46,16,82,88,91,28,94",13,,,"18,3",16,"25,58,11,28",,,,,,"88,54,63",,,,"32,9,18",,,"41,31",,"98,46,79,83,53,54,57,94","98,6,13,50,26,95",,"32,35,37,10,49",86,,,"56,17,61,29",,,54,,,,"65,4,5,39,82,22,28,62","37,6,9,41,11,73,75,88,60",22,,13,32,,,"98,10,48,55,56,90,63,31",,"64,6,7,11,57","29,5",,,,,,,,,"85,69,37","70,73,48,18,20,85",,,"32,1,52","25,61",,,,,,"9,39","40,72,17,81,20,23,27,30",,"51,100,53",,,,,"7,9,58,92,95",,80,93,,"65,68","17,92,69",,"67,44,77,82,53,55,88",,,,,"60,92,15",,"11,61",,12,"56,4",,,"96,1,33,35,69,39,72,74,45,77,48,49,19,83,84","96,45","77,43,52,53"
