Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99,Sursa_100
t1,"80,81","73,67,53,30","82,84","26,67","9,2,7",10,41,"83,4,30",35,"41,11,44,85",13,,"65,17,67",95,"72,75,4","75,62,87","89,3,13,38","35,22",36,"96,61","81,61,12,28","16,40,92,71","64,51,52,70",37,"99,31",65,,"49,70,87","33,2,37,54","57,11,28,36","42,67,37",58,79,74,"9,83,49",71,75,71,"56,99,70","80,66","56,97,10,20","72,41,35,73","68,55","62,69,14",3,"2,18,30","80,65,10,90","8,66,77,45","64,25,57,31","96,84,22",81,,"66,14","81,63,47",5,"41,58",31,,,70,"88,3","32,25","66,21,98,39","81,100,62",,9,4,43,"99,44,62",,"72,38,39",96,"27,19,53","16,25,86","66,67,98,89,91",68,,"40,72,67,15","68,43,23,88,94",,,"3,13,71","9,6","48,25,51","80,45,23","73,13","16,82,46,79",61,"16,100,71","1,3,38","66,99",39,"56,19,36,52","40,97,35,60","46,52,54,25,28",38,24,,"60,7",85
t2,"43,44,47,51,84","18,51,100","33,50,58,6","27,43,19","41,28,6",49,28,"24,99,87,79",,"75,28,84,39","5,87",,"57,4,45,46",41,"97,6,71,20,91,94","4,39,44,45,27","100,40,53,22,63","9,42,83,30","49,92,86","3,4,50,21,86,24,31","3,38,43,48,49,83,53,95","8,11,77,80,88,62","1,3,39,43,45,28,29","57,28,60,71","51,35,59,57",48,,69,"97,77,45,53,87,24,25,94","37,10,42,87,92,61","64,2,8,72,60,16,28","20,85,6,60",,"48,17,44","68,69,39,75,15,60,31","3,73,45,20,22","89,66,100","69,22","1,3,74,46,15,60,20,90,28,29","81,18,52,62","32,70,11,83,89,28","97,98,9,10,48,88,92,94",88,"99,66,91,15","90,53","65,38,8,73,43,84","1,33,6,50,55,88,25,29,62,31","3,4,18,24,26","96,65,35,100,38,40,76,77,91,95","58,69,90,41,18,26,31",52,,"34,75","80,66,3","2,54,63","32,84,31",,,,"16,77,53,63","89,65,68,52,21,57","53,79","71,8,48,51,54,30","67,28,14,84",,93,13,"22,31",,,"37,13,49,56,27,62",31,"81,90,67,97","73,92,45,7","64,7,74,11,13,15,48,83,52,53,85,27,63",79,,"3,36,71,13,49,53,30","64,1,37,38,70,16,50,22,90,91,29,30",,,"72,15,21,86,26,30","41,58,27,15","91,11,77,81,52,27","64,3,9,81,50,52,60","98,71,17,84,54,55,27","66,99,69,53,22,90,59","32,38,23","99,69,75,43,77,14,48","72,18,26,22","20,69,94,79",,"1,70,39,74,46,85","32,96,69,38,41,13,17,83,26","65,37,76,47,19,51,21,89,59,60,30",,"96,37,38",,"64,41,12,85,87,89,63","91,39"
t3,"37,40,75,12,52,62","84,54","97,100,69","25,12,54,71","96,34,15,48,25,60","9,19",,"25,62,15",,"34,40,50,51,52,56","6,9,77,52,54,63",,"2,3,98,99,38,72,77,53,85,92,63",98,"2,35,98,99,41,43,14,81,83,84,24,59","6,40,77,81,83,61,30","67,69,77,80,85","40,72,79,16,15,95","97,39,11,14,20,22,87,57,31","65,98,67,69,71,8,73,12,13,44,46,47,17,18,48,77,84,56","64,65,98,71,42,45,14,15,47,77,18,24,31","98,36,44,47,18,50,20,25","4,37,69,7,14,79,16,17,56,62,31","2,99,72,10,15,21,89,61,30","65,98,3,72,13,88,94","49,21,85,13",,"57,68,46","4,70,71,40,72,73,46,82,27","98,35,100,38,6,41,23,89","66,71,41,44,47,80,52,23,56,29","99,5,39,75,47,80,83,62,63",,"64,76,20,52,91,28","64,2,98,4,37,38,99,72,41,88,76,13,82,54,56,27,92,93","64,66,37,70,9,25,27,61,57","64,39,9,20,63",82,"64,65,37,10,13,45,47,48,17,50,19,55,94,58,59,61,62,63","35,79,83,84,95","73,75,76,46,81,19,61,21,53,57,26,29,62,63","69,7,71,74,76,78,57,90,27,61,31",42,"94,67,79,47","56,18,79,47","6,71,9,42,12,45,15,47,81,22,87,90,60,62,31","99,7,41,42,59,44,13,51,20,54,23,57,27","42,14,82,19,20,21,51,95","66,3,68,69,6,7,73,42,14,46,47,80,20,54,88,89,90","65,98,80,49,88,27,94","80,89,5,30",,"64,51,37,22","1,7,9,59,52,89,27","1,6,39,85,60","96,98,9,78,25,26,62",,,,"100,40,48,50,21,31","97,10,48,91,94","33,70,42,46,14,88","65,36,100,77,49,20,22,24,25,90","6,70,42,74,44,17,52,95,91,94,63",,73,65,"36,7,42,77,88",,,"1,65,4,5,6,36,40,43,12,44,16,48,52,54,61","40,77,86","2,3,4,66,68,13,79,48,17,80,89,92","96,3,99,70,11,22,87,28","96,34,99,4,36,6,73,47,16,49,18,51,81,87,94,31","81,66,37,87",,"96,10,11,47,48,82,19,61,83,84,90,59,29","14,18,24,26,34,36,44,45,46,47,49,54,58,59,61,62,63,66,73,75,77,87,100",,,"38,70,75,51,85,22,56,94","2,7,10,21,24,25,90,30,31","34,6,46,80,20,21,87,24,94,63","39,8,7,40,12,46,47,49,87,89,31","5,39,46,83,58,94","37,72,73,75,84,89,26,91,92,29","89,58,60,78","9,15,23,24,26,29,30,31,35,41,50,55,59,65,66,68,74,79,87,88,91,93,94,98","32,36,69,46,51,84,21,86,23","3,4,70,72,46,83,21,55,88,26,63",,"8,75,44,45,47,48,80,81,51,23,92,30,63","2,67,71,8,74,75,45,78,51,20,27,63","2,5,10,26,36,41,42,48,61,64,71,72,73,79,81,88,90,94,96,99",,"66,99,8,43,13",,"96,65,3,4,5,6,67,73,46,48,81,54,23,57","48,20"
t4,"8,69,21",11,"89,70,40,72,85,88,57","65,37,5,7,73,81,84,87,89","97,38,40,74,12,47,19,84,91","32,73,78,48,93",,"32,64,38,41,74,49,28",,"96,99,5,78,90","3,36,67,38,71,44,78,57,26,27,95",,"5,6,18,20,21,24,30,33,39,51,54,58,60,70,71,75,83,88,96,97","35,23,7","68,7,8,39,42,11,73,46,16,82,52,53,86,29,30,31","96,70,8,42,43,13,84,22,23,54,89,91,28,94","64,6,43,75,46,81,18,51,83","3,43,78,81,84,54,87,28,31","4,100,7,72,91,78,79,18,83,53,54,23,62,94,58,88,28,30","6,19,25,29,33,35,36,37,38,40,42,43,45,52,54,60,62,63,64,68,72,74,80,81,87,92","7,9,19,33,34,37,39,41,54,57,67,68,73,78,82,84,86,88,97,99","1,3,99,69,49,81,82,83,23,89,90,93","89,2,66,67,71,42,50,82,20,53,83,57","1,36,5,6,7,40,73,43,12,45,79,49,20,23,91,29,63","96,66,37,42,91,45,47,16,17,48,79,84,21,90,27,60,29","5,9,75,16,53,57",,"97,2,59,29,30,31","64,1,66,13,78,48,17,83,59","2,67,9,12,13,14,79,16,81,18,52,53,54,59,29","97,98,4,6,39,7,74,48,84,85,89","64,2,3,36,37,69,70,8,98,10,100,15,79,18,54,59",,"96,66,98,5,10,42,79,84,85,62","1,66,58,5,8,73,42,47,16,79,87,23,24,26,28,95","38,40,42,77,79,49,19,83,21,87,62,94,26,91,28,30,63","99,5,71,79,48,49,22,86,91,62","1,83,7","4,6,8,16,24,25,26,27,30,32,34,42,43,49,53,54,57,72,77,78,80,81,85,88,98","32,99,37,43,25","3,6,12,14,18,23,37,43,44,45,48,51,52,54,67,69,79,80,98,100","32,89,96,4,68,12,49,82,20,21,22,84,25,63","91,52,53,38","3,36,72,10,88,89,26,29,31","36,37,39,40,41,10,46,15,29","4,10,13,14,21,24,27,28,35,40,41,49,54,61,70,75,77,78,80,82,83,85,92,98,99","98,35,100,70,75,17,83,58,60","32,40,73,75,44,46,15,84,53,87,28,93","1,4,13,18,19,21,27,30,34,36,43,44,50,53,58,59,61,63,67,72,75,78,79,81,82,83,85,87","64,66,35,37,40,72,11,82,23,92,61","35,71,46,15,17,54",,"36,11,45,23,88,58,29","64,69,39,40,42,43,44,75,79,48,17,49,22,56,25,94","7,46,86,56,58,92","64,40,79,50,23,27,61",,,,"67,36,72,41,47,81,19,84,54","64,67,37,70,85,90","35,68,69,71,49,19,20,21,52,23,91","4,7,11,16,19,31,37,38,50,53,57,58,61,62,73,87,92,93,97","1,2,65,98,99,38,41,18,19,86,23,89,58,27,60",,"27,6","12,60,47","65,8,74,12,45,81,53,54,25,27,28,95",,,"14,17,19,20,22,24,26,28,45,50,55,58,60,64,66,67,74,76,77,84,87,93","26,19,87","35,5,69,8,41,45,77,18,20,52,54,87,88,26,91,60,29","91,52,53,84,94,59,30,31","1,35,37,38,39,69,9,43,12,45,46,92,20,25,26,28,62","99,9,53,88,25,92",,"1,4,5,8,9,18,20,24,25,32,38,45,54,55,64,69,85,88,94","4,11,21,33,35,42,51,52,57,60,67,69,71,74,81,84,85,86,92,93,95",,,"96,99,37,5,40,9,10,42,43,45,91,53,27,63","99,36,37,38,39,71,42,74,47,85,57,94","1,2,99,71,41,16,17,85,54,90,60,93","98,56,6,72,11,43,79,17,18,19,82,24,26,28,61","7,72,15,81,56,91","2,4,5,71,42,14,15,60,51,20,52,54,94,24,25,28,62","67,37,9,12,17,18,84,56,94","2,3,7,8,11,18,20,28,37,39,40,45,46,49,53,54,56,57,61,64,67,73,80,83,84,85,90,97","98,6,9,73,11,44,77,60,49,20,54,89,27,28,61,31","65,34,5,6,71,40,73,42,11,43,45,47,18,22,86,24,89,27",,"64,33,66,98,99,7,10,43,77,78,15,83,84,21,22,57,28","33,3,4,100,6,9,15,47,81,82,55,91,29,62","1,3,6,7,9,11,13,17,20,23,24,33,34,35,38,45,50,53,55,67,68,77,84,85,91,92",,"71,40,9,46,15,83,87,59,63",,"2,13,14,15,17,20,34,38,40,42,44,45,51,52,55,59,69,77,78,84,88,91,100","96,99,41,74,83"
t5,"66,68,100,70,73,77,27,30",79,"64,96,35,75,12,45,47,16,79,22,55,26,61,94,63","64,3,36,68,99,10,46,60,48,50,52,85,86,23,91,28","65,36,68,70,100,72,42,76,13,16,80,81,22,27,61","66,71,75,76,52,87,24,89,27",,"2,35,36,37,10,42,43,44,46,82,86,59,61",,"25,82,91,20","32,1,97,8,42,74,45,48,50,84,89,59,62",,"32,35,100,37,41,91,11,12,43,15,79,80,86,87,89,59,28","66,70,43,78,85,25","5,9,18,26,32,37,38,49,50,55,61,69,70,76,77,80,87,89,92,93,95,96","64,97,98,35,3,5,37,7,71,76,78,15,48,79,50,60","65,35,8,41,91,11,59,60,94","1,67,8,10,17,50,52,21,53,85,24","8,10,12,13,15,21,25,35,41,43,47,59,61,67,68,70,84,95,98","1,5,7,9,28,34,39,41,49,51,59,83,85,91,93,94,95,99,100","2,13,29,30,36,40,51,56,59,62,63,69,70,72,74,87,91,92,96,100","64,35,4,37,67,100,72,9,12,45,79,52,85,58,63","97,99,100,6,41,75,13,77,78,48,84,22,87,88,91,30","9,13,16,17,19,32,46,48,50,54,55,59,62,64,66,68,75,81,83,87,92,93,96,98","33,2,5,6,69,40,70,75,81,53,85,87,24,56,92,63","69,71,7,73,42,45,77,86,89",,"38,6,7,41,15,86,26,94","98,67,6,9,74,43,75,76,15,80,19,84,23,56,89","64,96,34,3,68,71,78,47,80,85,56,94,90,60,62,31","96,99,100,70,73,10,76,77,20,86,58,63","33,66,72,9,91,76,77,48,17,93,53,86,23,88,27,29",,"3,8,9,11,15,31,32,35,39,40,41,45,47,53,54,56,65,69,73,75,83,97,99","70,40,74,43,81,51,84,21,55,57,90,61,30","6,12,23,33,34,48,53,54,65,67,69,82,85,90,93,95,96,97,100","3,36,69,38,7,72,74,43,13,15,82,83,21,54,28,94,31","25,90,99","7,11,12,21,23,31,33,38,40,44,51,67,68,69,71,73,79,82,83,84,86,87,89,91,92,93","23,30,61,94,31","2,7,8,9,15,17,22,27,34,35,36,40,42,49,55,64,66,68,74,91,92,94,99","64,39,40,13,14,46,16,60,79,53,23,58,28,29,95","96,66,75,77,15,80,81,93,57,61","96,35,100,7,73,60,78,92,82,83,20,56,25,28,61,30,57","6,13,17,20,28,31,49,66,70,72,73,77,78,80,83,84,89,93,94,95","64,33,68,69,39,91,11,44,16,17,53,55,23,56,25,88,95,57","2,67,69,39,9,73,15,84,89,26,63","1,34,69,6,41,13,79,80,17,81,52,22,89,27,31","98,37,71,8,10,15,17,93,55,56,26,29,62","32,1,33,3,5,73,75,45,15,47,17,79,20,85,87,25","67,39,9,42,11,43,75,78,18,83,85,87,28,95",,"33,2,99,9,13,47,87,94,62","35,68,100,70,41,74,11,14,19,87,23,88,91,60,61,62","67,3,69,72,80,20,87,59,61","69,38,11,45,19,20,51,22,85,88,60,94",,,,"1,5,42,75,13,78,80,49,23,90,94,95","1,66,6,76,13,18,19,20,56,25,29,31","64,34,67,38,39,72,74,43,45,15,18,85,22,56,90,27,61","3,9,10,12,13,14,23,29,32,45,47,55,60,64,67,68,72,80,81,85,96","66,71,88,73,11,45,46,55,56,25,90,59,92,57",,"58,29","58,99,36,70","1,6,44,14,49,18,50,51,84,26,60,29,63",,,"34,3,98,69,8,10,11,75,47,79,80,21,53,85,88,94,31","4,37,36,73,46,90","32,1,98,99,100,37,6,40,11,46,15,22,62,57,28,61,30,31","64,67,6,39,18,24,57,27,60","97,2,68,70,71,8,42,19,22,54,86,93,30","36,70,42,49,18,19,82,60,30",,"89,34,68,46,16,80,50,56,57,58,91,95,31","89,96,2,98,99,7,39,9,10,72,80,82,53,25,28",,,"64,97,66,6,8,88,78,47,19,84,24,59,31","1,3,8,13,23,26,44,45,48,52,53,56,59,60,69,70,72,79,81,91","64,97,98,36,69,39,8,42,43,74,19,23,56,58,88,61","1,2,33,36,37,73,75,13,15,55,88,90,95","1,3,42,12,79,20,57,61","96,98,3,36,70,7,47,49,81,19,61,30","1,33,3,66,5,100,72,45,79,51,53,86,30,31","1,5,10,12,19,22,25,32,34,36,38,51,58,60,62,63,70,72,92,95,96","64,66,35,100,40,41,10,12,45,78,79,50,24,57,91","2,9,10,12,13,14,15,17,25,28,31,38,51,52,54,56,60,62,74,75,77,81,84,90,92,93,95,98",,"3,4,12,14,26,29,37,40,50,54,60,72,76,82,87,90,91,94,100","64,34,98,12,18,21,53,54,86,59,61,30","66,4,100,70,75,14,80,86,87,58,63",,"5,20,28,35,45,47,53,68,72,73,77,79,81,85,88,89,93,94,95",,"32,97,70,71,9,43,75,16,80,93,53,25,90,27,28,61,94","97,35,36,37,75,45,79,50,55,28,94"
t6,"64,67,38,42,45,92,87,24,57,26,28,63","81,83,62","66,67,4,37,99,7,71,11,43,17,21,53,54,24,27,60,62","97,98,6,75,76,45,14,15,47,78,80,83,21,53,90,59,93,30","1,10,11,21,24,46,50,51,59,64,69,73,77,78,79,87,93,94,95","35,99,39,72,41,77,46,84,21,53,95,92,30,63",,"98,3,68,100,81,18,55,88,89,27,60,31",,"35,70,14,16,83,57,62","64,65,100,70,40,72,75,47,79,81,20,25,90,31",,"64,90,7,40,9,78,48,81,19,23,25,26,62","64,72,45,13,17,83,22,87,88,91","65,66,10,79,25,27,60,62,57","2,34,66,68,69,99,72,10,11,12,17,51,85,56,25,88","2,34,58,49,20,56,26,92,30","97,2,5,6,37,69,71,73,11,77,48,19,51,61,93,90,60,29","64,3,99,6,42,75,45,16,48,50,80,81,24,89","90,70,10,14,82,26,27","1,35,5,11,44,75,46,76,79","33,66,6,39,43,15,86,87,57,60,94","98,5,72,59,10,11,73,76,15,24,25,58,27","3,69,38,39,8,41,90,77,47,80,84,53,85,26,27,31","97,34,67,36,100,38,39,10,77,14,15,46,80,55,62","32,33,35,4,36,6,68,74,12,46,18,54,27,28,61",,"32,99,4,5,71,42,14,48,83,85,27,60,61","5,10,14,26,28,30,31,34,35,36,38,52,55,62,65,68,85,88,100","33,65,5,8,40,72,43,73,45,77,15,82,20,84,24","33,34,36,68,91,45,78,51,25,26,59,92","65,4,71,45,13,78,49,21,87,89,92,61",,"4,7,14,23,24,25,27,36,43,58,60,61,71,72,78,81,82,87,88,89,90,100","3,11,14,17,18,19,20,22,48,50,52,59,63,65,67,80,89,94,96,97","1,2,4,68,72,43,44,75,78,17,81,52,84,59,29","6,19,23,24,27,30,40,42,44,53,67,70,73,77,78,81,87,95,98","37,73,91,84,24,56,88","96,2,100,36,41,18,22","8,9,10,11,42,73,74,50,22","65,39,71,72,78,47,16,84,87,88,25,90,59,60,93","2,66,100,38,70,11,77,47,15,51,52","2,36,70,8,9,40,73,45,46,79,17,22,23,24,31","5,9,11,17,19,24,37,39,41,50,51,55,65,80,81,85,86,93,97,98","4,8,9,12,16,21,23,32,35,44,48,59,60,63,64,75,86,87,99","66,36,5,100,86,29","97,4,5,36,74,43,12,46,78,19,52,21,86,87,94,28,93,30","64,2,98,39,7,10,43,12,78,47,49,54,88,57,90","2,5,60,48,28","4,9,16,19,21,28,29,46,48,55,59,63,67,71,76,83,89,93,97","65,100,69,6,7,72,73,14,47,49,19,25,91,29,94,31",,"97,67,69,7,41,73,12,46,15,86,55,59,28","2,98,36,90,99,8,46,78,16,82,86,55,26,29","64,4,71,40,83,21,22,57,91,28","65,34,35,70,13,15,16,48,83,87,63",,,,"68,9,14,18,52,85,87,58,28","32,34,35,36,40,41,46,15,79,83,84,54,86,58,27,60","1,3,6,10,13,29,36,47,50,55,66,75,80,81,83,84,89,97,100","33,43,44,15,17,83,56,89,28","33,4,5,37,72,9,43,76,13,79,61,20,53,54,87,29",,"33,87,63","85,69,7","97,100,69,70,90,73,82,19,52,55,89,58,92",,,"2,35,100,7,41,46,15,81,18,90,63","66,6,8,13,14,48,80,50,88,58,27,92,61","65,38,39,70,9,42,72,49,83,56","1,65,100,38,71,72,75,80,49,51,21,85,29","32,90,72,82,84,21,88,58,60","2,90,39,71,73,10,15,80,21,57,26,28,63",,"7,74,75,17,51,87,26,28,93","65,97,5,40,76,78,17,83,20,27,31",,,"1,2,65,4,73,14,16,48,18,49,54,87","12,19,20,22,32,33,46,51,54,55,61,62,63,66,73,76,80,82,84,87","3,67,37,70,7,72,45,79,18,83,22,55,62,31","34,35,71,10,29,30,63","96,65,67,4,11,16,52,22,87,31","35,41,10,11,48,21,95","64,96,98,36,69,39,40,43,80,49,81,20,21,85,57,91,62","81,42","65,67,4,8,43,15,52,85,93,30","64,97,35,67,37,39,44,78,16,48,19,87,23,57,30",,"89,96,35,42,79,86,24,25,88","66,99,37,7,72,42,11,43,44,48,19,85,22,90,93,31","32,98,12,78,15,31",,"2,3,11,16,17,18,19,21,22,23,27,30,34,36,44,49,50,55,57,61,65,67,70,84",,"33,35,39,76,22,58,29,62,31","34,66,68,38,40,73,10,43,77,16,17,86,87,57,92,93,31"
t7,"65,3,74,18,85,54,23,88","8,44,52,27,29","5,9,14,18,20,23,25,28,29,32,34,38,39,42,46,51,73,78,81,92,98","33,2,70,16,49,51,55,57,92","4,37,71,83,20,85,54,88,90,92","33,97,3,68,69,42,11,13,80,51,22,25,59,94,57",,"1,65,67,69,70,90,73,47,48,84,53,23,57,26",,"32,65,68,6,9,73,12,45,79,17,49,81,94","68,37,39,73,10,91,14,61,85,22,55,24,86,88,60,29",,"1,82,52,93,27,61,31","65,34,36,69,71,73,42,11,79,50,52,24,29","74,28,85,63","65,74,46,57,58,92,29,63","66,5,70,79,48,19,84,86,25,95,57","96,34,66,36,58,68,99,91,12,45,49,56,25,26,88,63,94,57","65,66,37,5,9,74,44,82,90,60","97,11,76,22,30","6,17,50,52,85,25","74,68,30,84","35,38,40,74,47,49,19,94,95","4,100,18,51,86,88,25,58,94","64,71,41,12,44,78,49,83,20,23,89,28,30","1,66,38,88,43,17,81,19,82,84,24,56,59,62",,"3,58,73,43,75,79,17,82,51,20,22,55,24,89,56,91","32,69,7,41,12,79,86,57,90,91,60,63","70,46,48,17,50,19,51,91","88,9,11,69","12,46,16,82,24,57,56,94",,"67,38,13,16,49,19,22,55,92,29,63","36,7,10,45,46,78,91,29","98,5,8,76,13,14,80,56,89","32,96,2,4,8,41,11,14,46,55,57,60,93","96,6,8,42,16,94,54,87,57,60,30,31",9,"7,72,76,77,78,16,19,54,86,27,92,93","38,82,24,58,31","33,6,75,80,83,56","1,34,35,65,5,6,37,67,71,13,48,19,94,21,85,86,25,30","38,6,71,42,43,46,18,52,54,23","33,98,5,74,22,88,25,26,27,62","48,3,37","64,37,72,11,77,16,49,81,56,92,95","65,97,35,36,68,74,11,76,85,56,58,92,30","94,70,97","34,36,100,6,8,10,42,43,74,77,78,52,53,54,24,56,60","33,34,36,68,8,40,74,44,82,84,21,86,23,90",,"35,68,5,6,70,71,100,10,78,48,20,21,84,85,25,27,92,95","65,12,45,15,50,84,85,57,58,93,30","8,9,12,15,17,19,26,35,37,43,51,53,66,73,81,82,89,93,96,100","5,37,8,74,75,76,49,18,52,53,54,93,89,90,28,29",,,,"45,15,82,88,26,91","2,9,17,24,28,30,33,39,42,45,47,49,53,63,69,71,81,87,98,99","2,37,8,41,73,77,60,78,16,48,92,54,86,87,59,28,31","99,75,78,18,27,94","32,97,68,39,77,15,47,82,21,93,31",,"36,37,70","71,19,22,88,27","5,71,40,11,16,30",,,97,"34,35,68,69,38,41,10,45,17,18,49,51,81,82,23","85,76,84,23","2,8,23,26,33,35,36,40,41,46,47,54,55,69,79,81,82,88,93,98","65,79,80,23,55,56","34,3,4,69,38,6,72,78,47,51,52,93,86,59,61",,"99,98,27,86","41,55",,,"35,39,12,46,83,52,92,29","96,97,77,78,16,18,50,88,89,29","96,40,73,75,47,15,49,53,57,28","70,20,21,14","64,2,36,45,77,78,24,88","50,74,85,13","65,34,68,70,73,42,74,75,48,19,52,25,93",47,"39,7,71,42,75,53,29,95","8,41,58,68",,"69,9,41,55,62","65,5,46,14,80,92,84,57,28","57,83",,"69,90,39,74,14,48,52,25,26,92,62,31",,"49,36,37,79","65,98,3,67,70,8,72,14,46,47,23,88,26,27,61,30"
t8,"6,71,41,76,79,48,50,83,55,56,89","3,37,6,38,69,10,14,78,48,23","1,36,8,10,76,15,48,80,19,52,87,56,59,93,95,31","40,9,74,77,63,88,58,29,62,31","8,43,82,57,58,29","65,4,5,36,100,40,74,43,47,79,85,88,26,31",,"34,40,76,13,77,16,17,19,51,21,22,56,92,95",,"97,3,36,72,92,48,80,19,53,89,58,27,60","33,34,35,98,99,41,43,80,18,92,30",,"34,8,49,84,22","89,96,3,68,5,99,39,9,15,47,48,53,56,57,90,92,94","48,33,54,23","80,18,20,86,55,26,59","32,37,7,72,9,73,14,55,90","64,65,100,7,74,82,20,23,55,59,92","1,34,69,71,46,56,93,63",16,58,38,"65,61","34,67","32,11,82,52,22,61","64,97,3,39,72,78,79,80,20,93,25,29,30,63",,"1,33,66,100,40,9,77,81,52,54,90,93","99,18,3,20","99,21,86,95","82,83","97,67,74,11,81,22",,"57,2,70,95","100,44","55,47","50,84,56,26,88,92","2,35,4,5,70,39,40,100,74,43,75,15,92,85,28,29,95",,"64,1,97,3,69,48,49,21,87,24,63",,"18,91,44,93","32,64,99,4,41,74,44,47,16,18,20,84,54,90","64,1,8,74,84","65,42,43,81,57,58,91","34,67,79,19,89,59,63","96,34,79","72,50,86,23,59,60,94",23,"99,39,13,81,91,62","66,37,76,13,22,92,61,62,63",,"96,4,38,74,76,77,18,19,83,54,89,91","37,73,10,13,77,18,83","98,99,36,38,70,11,45,77,47,48,49,78,84,23","1,2,3,36,66,6,7,67,71,73,43,99,81,86,57",,,,"65,35,3,69,38,99,20,57,61,30","4,38,7,72,11,77,14,16,80,51,59,62,95","96,65,98,9,76,82,30,63","34,69,6,40,91","69,7,80,49,51,83,85",,"97,77,48,20,53,23,88,62","32,3,40,16,49,54,57,92,29","34,37,38,9,47,17,85,94",,,,"65,99,100,5,71,43,75,78,79,16,54,22,89,91,63","58,75,74","32,66,4,37,10,43,12,15,50,19,56,63",5,"64,96,67,8,40,74,13,14,54,56,62,95",,73,,,,"58,36","40,34,28,14","50,38",,"68,37,70,100,40,9,44,82,60,62,63","40,57,77,23","99,90,6,7,76,13,54,26,92,29,95",,"37,74,87,25,62",,,"68,6,49,58,59","70,76,77,87,25",82,,"64,100,6,41,76,80,58",,72,"71,9,42,44,49,81,51,21,22,89,90,60,29,95"
t9,"96,98,35,5,7,39,72,14,46,20,53,86,91","64,4,68,71,75,15,82,24,90,88,28","65,41,44,49,90","32,34,35,69,8,44,82,20,56,94","3,62","98,8,54,23,90,60",,"71,11,80,50,20,52,54,58,93",,"100,71,13,77,47,15,26","46,15,17,49,93",,"73,14,47,50,94","2,100,38,6,46,60,49,51,20,54,59,28",45,"9,95","1,97,98,4,36,42,47,24,61,31","80,13","32,40",75,,13,"90,68,46",,,"2,99,70,41,83,52,87,55,90",,"88,84,53,78","51,42,11,47","88,27,55","27,49,3,15","1,41,43,44,25",,,77,41,"65,34,35,80,52,90","97,67,58,46,47,17,81,52,86,89,26,59,61",,"33,4,90,71,91,44,20,85,89,26,59,28,29",,"43,87","3,7,12,78,51,58,27,60","48,22","38,100,14,55","58,93","66,38,40,48,53","33,67,99,70,25,63","9,51",86,"98,3,10,45,79,88",,"40,1,50,98","34,38,6,24,31","97,41,74,13,14,18,50,29,31","97,44,77,14,46,21,55,24,30",,,,"32,96,98,4,39,8,71,11,12,83,55,89","43,50,23,26,92,93","57,5","74,46",35,,"64,72,45,79,81,55,61","1,83,84,23,24,89,63,31","2,35,3,67,78,15,48,61",,,,"32,98,3,9,42,12,15,21,85,24,25,60,93,95",34,"58,5,89,90,61",,"44,16,50,83,84,23,31",,,,,,"20,69",100,,,"75,59,28,23","9,55,31","8,83,11,4",,13,,,"65,2,97","24,73,23",,,"56,42,60,7",,,"64,6,13,18,84,54,25,62,63"
t10,"2,34,4,99,9,11,13,17,49,95,31","1,34,35,65,99,42,76,20,86,58,92",,"72,66,18","17,52,53","12,70",,"12,6,63",,"37,8,46,18,54,24,29",28,,"74,69","97,4,40,12,18,55,61","64,3",,"71,76,15,21,87,27,28",62,,66,,,"32,34,85",,,"60,47,94,15",,96,"50,21",63,"62,22","73,84",,,33,74,,"32,68,45,14,78,50,51,27",,"68,13,14,15,17,53",,"81,62","56,49,87","21,76,13","96,30,71",52,"24,85,71","16,62",33,,"64,99,4,53",,"80,81,42",53,"65,42,44,76,16,95","100,33,4,95",,,,"6,76,79,51,59",73,,59,,,"1,34,65,11,43,49,52,57,28","64,96,66,6,8,72,18,51,90,59","98,39,46,20,91",,,,"64,67,7,11,47,52,28,30",,,,"98,35,75,77,85,24",,,,,,79,,,,"66,34,10,74,47,21","8,6",,,,,,31,1,,,"98,82",,,"4,12,15"
